Time,T_N,T_h ,T_C,T_r,D_N,D,M_N,M,C,N  (Not determined),A,H,IL12,IL10,IL6,E_N,V,Ox
0,0.435954545,0.688036164,0.387984733,0.226426394,0.527958033,0.525796451,0.494133897,0.339720278,3.47E-01,1.74E-01,0.074593204,0.645577792,1,0.576763485,1,0.30219456,0.717853839,1
14,0.509425793,0.665963395,0.451374935,0.432818279,0.677541141,0.627138144,0.73239723,0.607112568,4.39E-01,2.20E-01,0.283723757,0.606843125,0.650793651,0.485477178,0.513020833,0.302738676,0.495837188,0.2
28,0.810153517,0.715421799,0.526450462,0.717825036,0.704059971,0.787682909,0.777074105,0.804800565,5.29E-01,2.65E-01,0.495377636,0.712072305,0.047619048,0.558782849,0.479166667,0.254013534,0.456984274,0.02
42,0.693492236,0.972468642,0.377438293,0.360875484,1,1,1,1,6.68E-01,3.34E-01,0.936169509,0.677856682,0.031746032,0.629322268,0.502604167,1,0.738205365,0.0002
