	MF.103-11B+.LU	MF.103-11B+.SALM3.SI	MF.103-11B+.SI	MF.11CLOSER.SALM3.SI	MF.11CLOSER.SI	MF.169+11CHI.SLN	MF.BM	MF.II+480LO.PC	MF.II-480HI.PC	MF.LU	MF.MEDL.SLN	MF.MICROGLIA.CNS	MF.RP.SP	MF.SBCAPS.SLN	MF.THIO5.II+480INT.PC	MF.THIO5.II+480LO.PC	MF.THIO5.II-480HI.PC	MF.THIO5.II-480INT.PC
Tnfrsf8	6.471477694	5.847462058	5.837645232	5.980601166	5.878653744	6.085499016	5.83155047	5.924255108	6.085870755	6.124007546	6.207598115	6.339769851	6.010405394	6.155731021	5.953785161	6.081138624	5.999621994	5.974850487
Tnfrsf9	6.374323121	6.505482892	6.194701706	6.741619001	6.307931559	7.002365545	6.511463822	6.052912155	6.126297674	6.257374013	6.685767088	6.399854104	6.292352312	7.692678961	6.153195304	6.232443313	6.106896848	6.14821556
Tnfsf10	4.822533867	7.533968971	6.664213813	7.296650809	6.77510692	5.818983456	6.721218155	5.848028632	6.027187971	5.191055924	6.892265938	6.312761365	6.401319861	7.470243188	5.645937939	6.03130476	4.857617788	5.215516821
Tnfsf14	6.250295575	5.632439816	5.490467902	5.873635434	5.751751846	6.242819694	6.724989444	6.471416725	5.973705401	5.328920217	6.30982465	5.877692724	5.440380852	7.08204363	5.717549396	6.429170702	5.321437495	5.536454975
Tnfsf8	5.610087294	5.486742525	5.794066755	5.901083498	5.850948405	6.36997242	5.20867462	4.93821364	5.037538901	4.604144485	5.597027543	5.669752467	4.932404539	7.811886169	5.002762519	5.186212645	4.975740227	4.84391854
Tnfsf9	8.701686105	5.224962508	4.997616297	6.902123035	7.064068433	6.676476169	5.525618943	6.728878757	5.501852043	4.671140489	5.798493834	5.23804418	4.735361508	6.595707286	5.352303021	5.757770011	5.263304886	4.817116691
Tnik	6.169292682	6.516662496	6.100120448	6.473758505	5.962599919	6.909096232	7.244243943	6.10506132	7.013341286	5.770511054	6.628034272	6.386655773	5.574420457	7.918930005	5.921435537	6.105771651	6.869408772	5.733375131
Tnip3	10.18638963	6.00912039	6.273801992	7.706485312	8.488103955	6.747381357	5.941093788	9.588432439	4.500396291	4.583896116	6.610425456	4.761405848	4.62543026	6.135761607	7.299303584	10.31224233	6.112302572	5.747501085
Tnks1bp1	7.228783584	7.117885651	6.933107727	7.216838479	6.974280353	6.908417241	7.089013965	7.033304792	6.949418205	7.299895768	7.309936033	7.462470099	6.845895203	7.935787971	7.08566755	6.968639148	7.192290513	7.297866681
Tnni1	6.836448699	6.104936784	6.1762672	6.295985609	6.209354713	6.732387248	6.563406288	6.069776625	6.039054293	6.390899221	6.783385932	6.736428542	6.160262728	6.948527263	6.348508635	6.337430422	6.0315687	5.987000939
Tns1	9.137455365	9.085589371	9.06958794	8.896135591	8.428432285	7.451287367	8.685391934	6.932230897	7.575189529	10.19975621	8.057758382	8.62446357	9.51948431	6.875583497	10.13788793	7.312659123	10.35798445	10.40806846
Tns3	9.899232665	9.441405149	9.581981584	9.665469698	9.690824472	9.492197098	8.842873265	8.355324371	6.674025092	6.897088321	9.08184237	10.02788103	11.14381409	8.445163868	9.393918312	9.206364188	8.335797051	10.01019971
Tns4	6.14990662	6.174976101	5.928508054	6.03104831	5.919562715	6.287597883	5.411094008	6.134548165	5.803116798	5.720396131	6.513916259	6.03813032	5.713446547	6.776792921	5.840426306	6.401039917	5.64700456	5.729393248
Tom1l1	5.550252722	5.595942948	5.090837102	5.413330052	5.151346608	5.67363274	6.628304575	4.875444247	5.474994063	5.027858827	5.779536832	6.964211082	5.105993689	5.784594279	5.067740526	5.07416002	5.28445861	5.089015025
Top2a	7.467012456	8.019232095	7.132089125	8.095012297	8.243485629	9.490992031	9.325115182	8.37997554	8.028815731	8.995929451	6.526177605	5.533513513	5.884476633	7.911102821	6.068788308	6.704871964	6.276422842	5.839857998
Tox	6.421889781	6.137864665	6.005545636	6.272905469	6.007474952	6.27797917	6.442538268	5.885311603	5.897117775	5.909603516	6.017610181	6.316316533	5.853639752	7.487919601	5.952532374	5.744431127	5.973582195	5.87878582
Tox2	7.460072902	6.75877653	6.615521815	6.835842302	6.574030643	7.264489047	6.789692306	6.72420641	7.666118882	6.679114101	7.657779324	7.189478007	6.547521292	7.714306659	6.714135136	6.688260568	7.9078753	6.597291301
Tox3	5.873350596	5.49652866	5.145045628	5.550288128	5.3652726	6.142052923	5.547571159	5.986721893	5.416062801	5.343869695	5.881678077	5.746325309	5.333546577	6.145484879	5.492149086	6.121657838	5.499955347	5.192140234
Tpd52	8.633164895	9.738985854	9.745085338	9.490472257	9.556218023	8.580782969	7.278248102	8.939680679	8.063905193	9.404157059	9.912349497	7.324848998	8.532877189	7.790103764	9.59405153	9.173342259	8.981048523	9.776205067
Tph1	5.689956052	5.083139955	4.917324678	5.037459099	4.853312051	5.60854019	4.929139239	4.875852131	4.907598945	4.930341527	6.796253806	5.203141108	4.964207616	6.591191695	4.927242258	4.948731656	4.90426571	4.922817871
Tppp	6.67627164	6.875094731	7.227679749	6.639101898	7.844541198	6.164381026	5.729219203	6.277640145	6.755002824	6.77692295	5.927030055	7.670522417	7.859614917	5.882426629	6.129783065	5.823381678	6.608053699	5.824545544
Tppp3	8.823557198	7.256749568	7.01217532	7.790359413	7.611783064	7.032584122	6.828911215	9.880083409	8.318647797	10.16143291	8.212811275	6.797676656	6.360460851	7.595045585	9.692382385	8.905897098	8.617697519	9.540132883
Tpsb2	6.408108065	6.002860011	5.944227296	5.991767849	5.970098526	6.630883029	6.139481092	6.024038152	5.988098402	5.99563677	8.001901019	6.410173174	6.188174068	8.583245273	6.174893068	6.13317647	6.132883198	6.06736265
Tpst2	8.18922364	9.426220351	9.601787048	9.229397696	9.217148738	7.920656549	9.056765317	8.943143641	8.91728465	8.760080752	8.571958322	9.988814798	8.300524926	8.995400425	8.802533382	8.739584525	8.677877466	8.898439349
Tpx2	6.929950736	7.050809663	6.443881772	7.428106998	7.115704147	8.28055319	8.921401517	7.028672651	7.037128498	8.100006977	6.405126994	5.568502384	5.610335878	6.925980436	5.574249888	5.969544238	5.922707682	5.698738925
Traf1	9.031690452	7.11564714	6.447985765	8.494578816	7.676117308	9.239337293	6.6338361	7.639356387	5.566093626	5.366091365	7.111925936	5.80154153	5.708611225	8.710400253	6.920213096	7.860104712	6.266711594	6.724435634
Traf3ip2	6.675654353	6.659398361	6.364008801	7.085991816	6.675592398	6.806802212	7.125121027	6.316114962	7.137873372	6.364536831	7.142270468	6.897829326	6.748106956	8.166931311	6.622662456	6.309194381	7.533230304	6.888233041
Traf3ip3	6.671192159	7.150289552	7.214652728	7.144598087	7.140315471	7.767749134	7.689145377	7.578070471	6.787217388	6.07644508	7.418589282	7.720949214	7.492317623	7.397497092	6.408031333	7.818042704	5.664826028	6.342762137
