	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Sept1	7.599668406	7.437402954	7.742853734	8.631519041	8.392271336	8.301571491	7.089504154	6.68245672	8.826743111	8.375718902	9.492089719	9.097953628
Sept3	5.50459497	6.264499838	5.903438427	5.493200051	5.904622982	6.018881159	5.543881458	5.798124411	5.661409006	5.64847551	5.658151488	5.545678072
Sept8	6.747686811	7.962199354	6.852527428	7.582799844	7.79486745	7.956315166	6.351230784	9.62749385	6.954622657	7.679199626	7.294893028	7.438663376
1100001G20Rik	6.350065788	6.531079633	6.883784121	6.395853985	7.405872981	6.295025014	6.342439778	6.149290871	6.369325139	6.412427581	7.308926608	6.352362174
1110020G09Rik	8.312586068	9.355209683	8.174791391	9.592332447	8.948744989	9.320792728	8.623681315	10.3937395	8.3937461	9.01614026	8.633302116	8.946799128
1110028C15Rik	7.270658505	8.184571651	5.795847453	8.257249853	8.132887995	7.969950921	7.124972199	7.022382795	8.354151729	8.265187683	8.576820149	8.427417611
1110059E24Rik	8.839754616	7.814095985	7.745164935	7.967535999	7.035269057	7.674782881	8.680810519	7.307033643	8.269291516	8.178968793	7.433634121	8.263143355
1190002A17Rik	8.493808493	5.194644586	5.469686312	5.164086318	5.208930781	5.023899955	5.512399679	4.896443819	5.20414463	5.000628788	5.112120437	5.174959628
1190002H23Rik	6.593844746	7.103268922	9.321526038	6.874962091	7.191089492	6.766637121	7.446089671	7.570392343	6.763558307	6.632743703	6.856532598	6.544389558
1190002N15Rik	6.601163627	6.796443961	5.762928116	6.145642135	6.386023985	6.100543204	6.464099702	7.327077431	6.153226724	6.11676605	5.91289652	6.048425841
1190003J15Rik	5.824314713	6.216540229	6.206032986	5.639112513	5.931504994	6.128241152	5.962730235	5.967739254	6.081405676	5.806644993	5.851480046	5.914850308
1300002K09Rik	5.916441612	6.558788037	6.214179216	5.852532422	6.176625297	5.958694996	6.020353293	6.1027526	6.04415365	6.01044978	5.994115797	5.910875342
1300014I06Rik	5.036374385	5.240993534	5.20655076	5.146618568	5.28544291	5.130875972	5.109373097	5.29461156	5.110198266	4.989098124	4.933662332	5.04520923
1600029D21Rik	5.465699173	5.929788631	5.997787675	5.364690318	5.998176695	5.697335511	5.405326434	5.62656617	5.601537562	5.584852792	5.719313975	5.689627644
1700009J07Rik	5.062685874	5.900842662	5.377101764	4.798570731	5.368739253	5.081278548	5.046189812	5.139567723	5.394942799	5.139418332	5.255752491	5.068402107
1700009P17Rik	5.372471584	5.451410602	5.716598626	5.098150021	5.160079823	5.124227485	5.394526718	5.870192079	5.313294836	4.988298402	5.583697584	4.989718059
1700018A14Rik	5.858508229	6.356598103	6.401472327	5.470704964	6.136706132	6.126883401	5.81184861	5.835983428	5.999577274	5.82948808	5.867788587	5.521243942
1700019A02Rik	3.207158827	3.557207881	3.314416176	3.097841115	3.517838382	3.66880369	3.1105804	3.29556141	3.131457785	3.384982282	3.357702131	3.23051046
1700019B03Rik	3.924533833	4.50807364	4.294405095	3.628007531	4.070867285	4.117703353	3.924935988	3.904859776	3.929852529	3.880220223	3.993798128	3.919163668
1700021A07Rik	5.209691196	5.858068052	5.931958775	5.213629831	5.602444013	5.688115068	5.233210615	5.526436639	5.789790536	5.604697028	5.246292799	5.698356017
1700021K19Rik	8.245951314	7.660515098	7.848679479	7.648632732	7.465188439	7.451630395	7.702040822	6.916175653	7.527526268	7.640249998	7.877256522	7.469586876
1700029F09Rik	8.666667959	9.549399834	8.502824248	8.207584125	7.115616972	7.413855527	8.850772862	10.26158735	8.54997772	8.790768943	7.153071307	7.893468698
1700040L02Rik	5.729069616	6.79341343	6.728303762	8.403530619	7.235433488	7.075797871	6.444728348	6.196609995	7.446005143	7.227053195	7.861394234	7.534849894
1700047G07Rik	6.937762214	6.131667675	7.573867551	5.800535838	6.788142336	6.650521888	7.051842264	6.275925207	6.666022988	6.379269186	6.517022622	6.21353587
1700048O20Rik	5.953458486	6.335227763	5.942830378	6.801006859	5.633977494	6.079027458	5.896157998	6.19013184	6.217336394	6.172599522	6.152116476	7.092750799
1700058C13Rik	4.290313809	4.538954027	4.140579631	3.807746458	3.981426478	4.282338481	4.33467553	3.989597726	4.11322958	3.812323654	4.222320285	3.841475032
1700069B07Rik	6.133067528	6.715786317	6.287262958	5.837121613	6.425709378	6.158205054	5.933597029	6.047073731	6.250986199	6.078490288	6.198380866	5.920623205
1700106N22Rik	6.947404335	7.568118393	7.143700546	7.742246775	7.298575842	6.952447729	6.989908754	6.785642744	7.546711604	7.999361353	7.616649308	7.337689241
1700110M21Rik	5.223786782	6.180127965	5.650994269	5.104522576	5.425952696	5.544266929	5.283529199	5.401657769	5.451039627	5.304782982	5.454597057	5.417521754
1810011H11Rik	5.878064813	7.307331067	7.019962427	7.982054852	6.896130948	5.222455538	6.58448954	5.109582045	7.625229935	7.49857081	7.828423619	5.519655122
1810011O10Rik	3.929563784	4.467762037	4.022131043	3.829034305	3.729324357	4.326254496	3.842120668	3.709158272	3.766467953	3.634221512	3.817159338	5.553031743
1810033B17Rik	7.155984955	5.861553457	7.346407651	5.639107688	7.293450191	5.986482234	6.37536096	5.605452849	5.474586925	5.514363741	7.286371396	5.644522561
1810046K07Rik	6.47823841	7.118365437	6.774289826	6.622304208	6.907718705	6.792346087	6.520688866	6.582805864	6.758275857	6.63986089	6.667101132	6.673482224
2010001M09Rik	6.115685283	6.325819921	6.145183567	7.144014409	6.251642728	6.504842817	5.878120414	5.843292973	5.885526778	5.874835073	6.130270581	7.697205986
2010002M12Rik	3.686474381	4.135288599	3.575574542	3.761753329	3.995463414	3.883086385	3.873636049	3.598085263	3.83587861	3.669230906	4.043848999	3.765264216
2010002N04Rik	8.722330538	8.270458394	7.826822171	7.991673005	7.447480567	7.28321	7.537578997	6.563827754	7.739353644	8.18358452	8.104112969	7.19370621
2010007H06Rik	4.967531388	5.606300084	5.400690479	5.400227088	5.493501102	5.499728979	4.96469435	5.101721503	5.22831847	5.306511977	5.35149406	5.973746723
2010110P09Rik	5.799970583	6.180419415	5.953940326	5.420100579	5.822143775	5.986356321	5.780431718	5.561365854	5.830772508	5.642304458	5.710712776	5.552750547
2010300C02Rik	6.128431576	6.03496179	6.391866797	5.79403283	6.281521457	6.234941302	6.180818862	5.755712808	6.119774274	5.831569471	6.036519451	5.907455541
2210010C17Rik	4.980390956	5.766923732	5.400232782	4.884623968	5.469329233	5.2573891	5.014632021	5.099758072	5.253535517	5.070065114	5.206154794	5.02570656
2210020M01Rik	7.800486225	8.207557609	6.978138034	7.680106774	7.220670465	6.398828043	5.991759914	7.503503778	6.702448382	7.658881609	7.051063894	6.233234268
2310015D24Rik	5.696816412	6.475038663	5.656997775	5.832114463	5.99113254	5.722685509	5.737939085	5.783615112	5.922332262	5.452437294	5.629821899	5.514141201
2310016C08Rik	5.730868161	6.848071419	6.876788679	6.851963452	5.704635922	6.180344155	6.090679856	6.797937071	6.46482099	6.469819244	6.124297803	6.093704886
2310044G17Rik	7.396547415	8.264313808	7.612867515	7.833360501	7.432414119	7.502672976	7.852952866	8.262734518	7.835301664	7.909828896	7.694708201	7.440004122
2310061C15Rik	8.602940686	8.238748413	9.113059893	7.56515642	6.771508397	6.855272988	8.527852032	9.199505984	7.943160934	8.062783627	6.691409469	7.159745222
2410066E13Rik	6.113208044	6.175978615	6.154928121	6.942478144	6.519346899	6.300250046	5.949701448	6.287510157	6.30964642	6.543652858	6.761286603	6.428239559
2410127L17Rik	8.208067356	9.081274508	7.545668549	8.579559824	7.46327423	7.543483768	8.758178789	10.13593927	8.702366302	8.698231677	7.863680803	8.153904619
2610018G03Rik	9.178237747	9.781239539	8.987854804	10.03090154	9.689383909	9.546970386	10.0395214	9.017920656	10.18201513	10.27912012	9.927515271	9.996630108
2610019F03Rik	5.460872501	5.555148938	5.902002006	5.259488436	5.564771411	5.707258807	5.72899255	5.345037928	5.327840032	5.081239484	5.311131301	5.129491162
2610020H08Rik	6.416189505	6.997237075	6.019592211	6.948337638	6.506507267	6.824884934	6.449849115	7.383133581	6.584633348	6.918133955	6.563466796	6.897122415
2610034B18Rik	5.825681339	6.580424407	6.235497951	6.292925276	6.345974672	6.065371971	5.85681393	5.889024456	5.935227531	5.999319068	6.122249593	5.890974352
2610318N02Rik	8.851841055	8.374556787	9.197526745	7.535913754	7.498292626	8.821963459	8.88792082	8.628177391	7.78078088	7.893721687	6.962574086	8.643857993
2610528A11Rik	5.888998082	6.599350528	6.32772688	5.781342226	6.202750733	5.98539189	5.807421903	6.024790615	6.148647407	5.772834477	5.942548911	6.217621393
2610528E23Rik	7.160465779	7.918806303	8.408872746	7.449759993	6.973776948	7.138535993	7.974917199	8.567373558	7.357095812	7.456672697	6.963529996	7.092157743
2810026P18Rik	8.905717328	9.289408107	9.306030465	9.404668715	8.072577115	8.466103659	9.439970334	10.524094	9.123255694	8.958773815	8.271425209	8.616243548
2810055G20Rik	3.767559463	5.655599413	3.969847343	6.903613964	5.873328446	5.596385582	4.571345118	3.432525198	6.210878785	6.434784998	6.036262278	6.173807035
2810417H13Rik	11.20243048	9.256993051	9.91280358	9.020448029	7.909504314	8.97043946	11.12502984	9.755247463	9.849331752	9.573915065	7.722397486	9.910426347
2900026A02Rik	6.481871531	7.243648614	6.917589288	7.133867959	7.654137383	7.758732233	6.593003115	6.65409608	7.11267303	7.316309593	7.683633066	7.981053757
3110007F17Rik	5.264470124	6.363210509	5.153241927	7.087764786	6.418635239	6.381374519	5.653873072	7.005745237	6.308128755	7.00975809	6.769535061	6.796526375
3110043O21Rik	7.018013929	6.672604253	5.480024868	6.763895756	6.099484577	6.612848352	6.32684351	7.418423574	6.512912667	6.735388137	6.404036818	6.36495144
3110052M02Rik	6.325105735	7.119421545	5.046133049	7.27571667	6.452226412	6.654422174	6.260220161	6.471796314	6.822692551	7.157915311	7.14616099	6.80593278
3425401B19Rik	4.950539956	5.102383086	4.790931865	4.59027465	4.772211187	4.863236419	4.690852855	4.625916284	4.651146432	4.679575807	4.693221161	4.705140232
3830403N18Rik	3.545795433	3.862798509	3.390621833	3.209531347	3.24540946	3.401698723	3.695199519	3.571403776	3.183248295	3.376269543	3.243176523	3.112124608
4631416L12Rik	4.882377308	5.286269425	4.849428872	4.782530881	4.966019713	5.188797838	4.943088341	4.880683077	4.949126345	4.786460449	4.857529875	5.019108081
4632434I11Rik	7.876968306	7.464219397	6.010356902	6.47852642	6.55337484	7.318251756	7.906303981	9.250539913	7.302807057	7.431276534	6.235755138	7.508937246
4831426I19Rik	8.078414321	8.077409918	7.949179468	8.347155675	8.272446278	7.777355711	8.017064868	7.253915069	8.389472166	8.146002687	8.627498501	8.001574271
4833422F24Rik	6.290991992	6.395448449	6.46571604	6.01394531	6.51982231	6.464870805	6.471743487	6.279730356	6.26187772	6.061390635	6.37385698	6.150409388
4833442J19Rik	5.718114077	7.295099883	6.286049437	7.52889893	6.809302962	7.149411129	6.16807971	6.71455326	7.075849737	7.204993621	7.24374111	7.186638716
4930408O17Rik	5.512370179	6.243952733	5.701272726	5.37249364	5.910038646	5.879946685	5.554389316	5.65917962	5.673781121	5.692943231	5.545139528	5.708929365
4930422G04Rik	8.595576014	8.716387531	7.319357809	7.708295084	7.720823158	7.838249235	8.430283739	8.866928682	8.595251699	8.59108807	7.410421105	8.344628133
4930427A07Rik	8.5521575	8.166365975	8.342955429	7.506302556	7.174038826	7.378879764	8.387961299	7.964662586	8.50439396	8.086234436	7.248997115	7.585101879
4930431A04Rik	4.271246374	4.623773238	4.275238039	4.108599726	4.391146762	4.421149227	4.389190487	4.266707846	4.331436513	4.215899876	4.289091782	4.162097221
4930438A08Rik	5.67282415	5.921423239	5.931828013	5.519589079	6.283070445	5.888166867	5.660098607	5.66494783	5.863314072	5.511275102	6.396154921	5.500711245
4930447A16Rik	4.31327488	4.910346517	4.148155891	4.095344976	4.486727243	4.470289562	4.211850666	4.299332589	4.391179993	4.165923995	4.181168825	4.110680615
4930447C04Rik	3.190325133	3.865983131	3.061879861	5.557970614	4.69659852	6.574266542	3.410626033	3.370554899	4.303715004	5.071382985	4.867153516	6.994015071
4930503L19Rik	7.177263383	7.374247905	5.581709767	6.945624869	6.816206726	7.214768537	7.198640498	8.089247867	7.152237681	7.177307905	6.591253542	7.505431283
4930506M07Rik	6.024687576	5.118635895	4.783142307	5.62385906	5.468610468	4.674494549	4.893761825	4.69237419	5.108030929	5.063865296	5.549248169	4.492141606
4930515G01Rik	6.0723731	6.486065915	6.748087271	5.960766532	6.41814215	6.899607471	6.496411216	5.919981191	6.348506865	6.720854388	6.583261824	6.572915431
4930521A18Rik	3.310795739	3.816456351	3.20170704	3.241962182	3.296892965	3.813664916	3.709647221	3.265436896	3.276362663	3.195197966	3.462942273	3.287154584
4930524L23Rik	4.372680523	4.848800685	4.37216973	4.236028228	4.590208768	4.484430336	4.420960661	4.370722275	4.597546072	4.510952428	4.658700869	4.629441139
4930547N16Rik	8.324328185	7.358725476	6.889855582	6.328303324	6.701042565	8.001103578	8.311758153	8.352644221	7.760594215	7.51740838	6.252500183	8.267066621
4930555G01Rik	4.746918242	6.711744053	4.760132217	6.210109578	5.854528495	6.108865924	4.657519966	4.634166321	6.394773066	6.472566565	6.345272171	6.679247138
4930562F07Rik	5.750962847	5.689869416	5.219935172	5.217200983	5.669084419	5.473115835	5.448732495	5.230671844	5.185000272	5.017042219	5.499828883	5.22302475
4930572J05Rik	7.427591927	7.468591462	7.834892788	6.347995114	7.181524004	6.846437737	7.707530083	7.954403101	6.829964961	6.85373996	7.026040527	6.409203374
4930579C12Rik	3.833875097	4.502772942	4.116081913	3.848217301	4.110299204	4.048079211	3.990685653	3.925453559	3.843265332	3.839974699	3.94857593	3.870655695
4930579G24Rik	9.523535755	8.293491651	8.872191695	7.848336042	7.732574026	8.240345975	9.20694076	8.992722553	8.675423949	8.613563882	7.361325343	8.033308187
4931406C07Rik	7.437845267	7.712998422	6.98894821	8.42595773	7.46983986	8.614396245	7.294278872	6.465624356	8.247605244	7.987509889	8.467180286	9.378857516
4932438A13Rik	8.659488512	9.527946001	7.047076276	9.435815183	9.888707232	9.647603408	8.610062434	8.933081733	9.328827378	9.573567761	9.718839363	9.818989046
4932438H23Rik	5.017880348	5.919977617	5.296678873	5.024559045	5.429364893	5.155266203	4.761228529	5.111083492	5.170339717	5.130696166	5.202707642	4.991215701
4933407I18Rik	4.902948259	5.519405089	5.274754901	4.59315056	5.12964708	5.433092984	5.219941624	5.01565144	4.915272304	4.791519773	4.915159146	4.653100155
4933409K07Rik	6.007656737	7.710321207	6.333960947	7.976364399	9.254930104	7.927662621	6.137799273	6.284726028	7.491394968	7.82862936	9.27430158	7.756862508
4933416I08Rik	5.516818872	5.424060445	5.244001589	5.296563862	5.738198571	5.461608227	5.715348872	5.527136036	5.457943892	5.40672713	4.990378575	4.960741051
5031414D18Rik	9.120370086	5.73176976	6.712948341	7.082624538	6.307422453	6.985628315	7.895597295	5.383168582	6.817627734	6.335772641	6.84598341	7.437895607
5031439G07Rik	10.13671023	7.656565014	8.658328012	7.28191025	6.922195469	6.806044308	9.095717088	7.113076915	7.684895862	7.330708075	7.33186134	7.137801664
5430435G22Rik	7.373384308	5.795538392	7.35098867	4.93175081	5.086867253	5.231931551	7.073908043	5.163037753	5.538693351	5.080572395	4.985486768	5.069856806
5730471H19Rik	6.316503595	7.214253056	6.821476379	7.491248908	7.533204862	8.887495621	6.833397821	7.456024149	7.425974509	7.470268409	8.168389819	9.063502403
5730508B09Rik	7.570827961	8.055356467	7.923350861	7.541824815	7.451878445	7.475941445	7.518734188	10.24377064	7.318625053	7.485729906	7.554571457	7.275472718
5730522E02Rik	8.549227629	7.989794397	9.230011386	8.151384293	8.637051687	8.758768204	8.873157185	8.415910953	8.520682712	8.226760902	8.332214571	8.173947164
5730528L13Rik	7.048885706	6.802289523	8.472336535	7.335399585	7.44561443	7.124237481	7.694281731	5.843076851	7.304619641	7.407182347	7.633947715	6.744997939
5730590G19Rik	8.25331379	7.483527612	7.473471166	6.456102478	7.641122339	8.34240585	8.314011113	8.132649068	7.511310687	7.480117258	6.739224798	8.597274911
5830403L16Rik	5.285349196	6.278589771	5.494404943	5.319980344	5.431979467	5.501457192	5.286541128	5.199000894	5.281562875	5.27821898	5.351429276	5.273743391
5830405N20Rik	7.901527238	8.094504227	7.871370145	8.280690051	5.88013286	6.357293352	8.279158783	4.578102432	9.506166429	9.344958397	8.397606756	7.596957125
5830411N06Rik	5.56013613	5.879171517	5.819927001	5.494203308	5.758783747	5.687415345	5.721482945	5.699791747	5.709293393	5.571021442	5.596066482	5.618455983
5830416P10Rik	5.883351996	5.672678499	5.698097137	6.801368215	6.525323477	7.057939752	5.71661783	5.205249785	6.023098963	5.790826763	6.984276794	7.301154572
6030429G01Rik	6.133944999	7.055698371	6.555376491	7.304376878	6.907649815	6.591884829	5.985989139	5.953913561	6.451021488	6.724131812	7.07508582	6.328299733
6030498E09Rik	4.065954245	4.902736874	4.136538672	4.911977536	4.317820189	4.849497264	3.945117608	4.625615339	4.366944625	5.17911091	4.339301318	5.471167947
6230427J02Rik	7.647983122	8.80567504	8.64853459	9.229387	9.283552272	8.702527456	8.059022624	7.708211037	8.766898562	8.953757181	9.045142323	8.74569617
6330403K07Rik	5.993821522	6.72615207	6.199692627	6.173130766	6.167246852	6.802926013	5.869327744	5.992525998	5.990387652	6.073382175	6.237334264	6.695589529
6330512M04Rik	6.374866182	6.824692127	6.54177862	6.180666389	6.651975391	6.553886774	6.480219337	6.313492569	6.339370806	6.256926672	6.338165876	6.239993695
6430527G18Rik	6.977705418	6.498272412	7.065959988	6.833706466	6.982227736	6.748163771	7.171479069	6.516011206	6.55702786	6.737135777	6.995980408	6.554360151
6430548M08Rik	6.788676142	6.314842419	6.086718671	5.819851233	6.820378117	6.098116325	6.201733174	5.710842242	6.070839027	6.025800669	6.726695004	6.212766782
6720401G13Rik	7.207041985	8.302501616	7.315544494	9.703867246	9.095003283	9.191035766	7.837520713	7.249445341	9.297410285	9.154960726	9.467142169	9.399981741
8430410A17Rik	8.007658606	8.173169668	8.201459231	7.607895937	6.906990379	6.981588592	8.07176821	8.042361439	7.772518467	7.841923444	7.021892015	7.104437309
8430419L09Rik	7.368664763	8.210173315	7.500538905	7.635127259	7.662125728	7.436383134	7.230548246	9.523398075	7.890877406	7.693251019	7.964742668	7.765606017
9030418K01Rik	6.843632169	7.075316018	6.558238037	6.909884286	7.726509735	6.855941125	6.471473088	5.824426738	6.771083345	7.108124001	7.510171806	6.362881002
9030619P08Rik	6.803906369	6.084696794	6.775150652	7.568825865	6.193238189	6.197595464	6.459412492	4.321437495	8.133318973	7.091881217	8.171256041	6.778893221
9030625A04Rik	7.52006284	6.817440351	6.412128327	6.695461703	6.775665146	6.721862498	7.328707835	5.982300002	6.551532167	6.540017967	6.644463917	6.717854607
9130014G24Rik	3.662794158	3.981080879	3.996852696	3.830214753	3.932124181	4.158299322	3.730074722	3.758804174	3.871129022	3.758985343	3.778954967	3.900939243
9330121J05Rik	6.610210853	6.611837791	7.057921346	6.360704307	6.915902876	6.684378345	6.658896005	6.573117724	6.487528957	6.325600486	6.46865608	6.306006989
9330175E14Rik	5.444881265	5.541706872	5.19574523	5.272872974	5.362349484	4.956569375	5.400032351	4.897584114	4.862151315	4.947988694	5.280608709	4.78579377
9430025C20Rik	3.362483916	4.487640695	3.490270608	3.494300395	3.910227374	3.482577268	3.419732136	3.345318305	3.463164676	3.42683501	3.48339876	3.644052383
9430070O13Rik	4.266109377	4.711993156	4.336576182	4.13649219	4.293345959	4.279265747	4.367515515	4.36038886	4.193511562	4.145983079	4.283788458	4.06744942
9530009G21Rik	4.766006727	5.888175799	4.756717317	6.429242132	5.984580996	7.029065214	4.927665781	5.195575954	6.459721768	5.979973872	6.525610069	7.512578904
9830107B12Rik	4.006307001	4.517556015	4.484034986	3.962499668	4.821652397	4.12247118	3.915428478	4.023964991	4.143740336	4.300204279	4.801877755	4.198670944
9930022D16Rik	5.080141714	5.916698764	5.339717008	5.146068641	5.604929251	5.329670186	5.113747721	5.373769997	5.118411641	5.12241803	5.17717234	5.168619975
A030009H04Rik	8.558555537	7.109845277	6.802253974	6.544664661	5.790144718	6.203559436	7.818047605	6.821147669	7.23409746	7.06451267	6.183470634	6.256304
A130014H13Rik	5.137483031	5.848859511	5.346926168	5.493683623	5.592827755	5.659397528	5.241788077	5.403683562	5.434201193	5.42952391	5.318318046	5.523819109
A130050O07Rik	6.478970727	6.449211388	4.783559676	5.737355971	5.130270582	5.198017367	6.167483714	4.881857912	6.70442451	5.727231607	5.781760115	5.863606473
A130082M07Rik	5.530561881	6.200138447	5.845267566	5.545797492	5.810978574	5.541331042	5.623516717	5.850296872	5.823837234	5.709174818	5.633885493	5.637914495
A230006K03Rik	3.349459643	3.4414038	3.235813844	3.159526932	3.33944623	3.578383259	3.54866678	3.158021888	3.267857859	3.095907546	3.266931428	3.193882109
A330049M08Rik	5.875980696	6.340187483	5.831993746	5.505605156	6.065649855	5.842212877	5.824068565	5.857009336	5.769815368	5.520607681	5.702267823	5.754179339
A430078G23Rik	9.362996542	9.549281032	8.796337746	9.471767869	9.267645578	9.092077117	8.832116362	7.69519627	9.804078573	9.568722363	9.775973501	9.458897989
A430084P05Rik	5.065970037	5.408995414	5.39031802	5.226467427	5.020837004	5.389234091	4.847353896	4.982895491	5.318132425	5.094024887	5.25603189	5.223161868
A430093F15Rik	5.818341016	6.004614871	5.89382006	5.724880335	5.972488181	5.870590765	5.760294588	5.775770919	5.655137126	5.854582932	5.718653881	5.781523647
A530021J07Rik	4.020158429	4.659125376	4.297925053	4.161694235	4.114655757	4.242838744	4.156771427	3.996113017	4.166647164	4.175520609	4.052352129	4.048985941
A530023O14Rik	4.998010415	5.743988823	4.709623329	7.254213567	6.370327633	5.878127773	4.571199473	4.477913656	6.04658928	6.412316638	7.066849455	5.916932789
A530040E14Rik	6.560677256	6.174518276	5.504154248	5.910364107	6.230315752	5.399442286	5.80241038	5.706283267	5.976930657	6.246810891	6.211931113	5.22412905
A530064D06Rik	5.692243985	4.798177562	4.914765415	3.873908326	5.346156746	4.693821457	4.626812904	4.654498554	4.571346129	4.440443977	5.207453002	4.131206701
A530099J19Rik	4.594267866	5.20335975	4.8151006	4.315235321	4.36518393	4.803218424	4.348633742	4.336461928	4.575421255	3.994394171	4.502330602	4.369557216
A630001G21Rik	8.204696173	8.188657579	8.180789528	8.382675322	8.168969902	8.034427032	8.38442143	7.598550191	8.096094728	8.132141871	8.250005901	8.273957107
A630033H20Rik	5.166495864	4.514024394	3.570102617	5.48610937	4.31521358	4.404787342	3.882623487	3.509455162	4.665062987	4.334586152	5.310275886	5.379520463
A630038E17Rik	4.678423143	5.109747093	4.882758787	4.690420821	4.911384797	4.817433955	4.770494316	4.638757362	4.683415747	4.563118462	4.531090292	4.635913973
A630091E08Rik	5.018966445	5.739183835	5.286442557	4.799491453	5.380517055	6.227145477	4.9956428	5.092148227	5.123808953	5.285335631	5.225857166	6.250075719
A930002I21Rik	3.50578086	4.07602457	3.85292437	3.600083377	3.835391889	3.763096371	3.685884099	3.705458217	3.557244648	3.467462089	3.65635526	3.567813129
A930038C07Rik	4.783075936	5.131476306	4.825261563	5.634176972	5.191044076	5.961631817	4.658997847	4.64540193	4.835257128	4.577120617	5.293743225	6.837791902
A930039A15Rik	6.409415264	7.643282244	6.247819307	8.601764352	7.407025807	7.312205909	6.067414282	6.703280693	7.336010178	7.325359878	7.982187227	7.54485782
AA386476	7.770563471	7.89944605	8.243261908	7.302118256	7.899305559	8.040730454	7.993447555	7.694983935	7.629830154	7.547015965	7.660348944	7.385827896
AA467197	5.037275319	5.514998029	5.038949708	4.98439795	5.363971184	4.874880555	4.965288682	4.892259866	5.394274039	4.89935934	5.377010347	5.109205917
Aasdhppt	8.563774887	9.197958004	8.827502554	9.297188053	8.245739349	8.464333091	8.949920262	9.986787133	9.162916067	9.27937402	8.661482523	8.746244231
AB010352	5.900903026	6.546150547	4.358192278	6.661926278	6.352341868	6.165649363	5.632639507	6.062951688	6.588492781	6.863703102	6.582659364	6.185728809
Abca1	6.551539088	7.500284607	5.796149524	7.75595132	7.369547329	8.173803705	6.562032748	6.482816022	7.564179983	7.354763326	7.912818098	8.734336876
Abca13	4.463310746	5.25985811	5.081777051	4.472119469	6.071910655	4.948801727	4.742742825	4.548874299	4.63281494	4.622084042	5.545806757	4.576225829
Abca5	5.582209739	6.224698246	5.152994605	7.033020606	6.83935204	6.504017555	5.479633697	5.621221115	5.530184697	6.023101182	6.508328286	6.545854882
Abca6	4.977377626	4.963034775	4.363021519	4.03784196	4.367417664	4.541758489	4.508646266	4.203937197	4.150437822	4.119310521	4.177380999	4.319039816
Abca9	7.616596136	5.470426235	5.337135422	4.513080113	4.929012957	5.093696788	7.047822273	4.73415682	4.703516035	4.686903865	4.790845005	4.540554292
Abcb10	7.661851953	7.888565488	8.678908186	7.403884906	7.052800964	7.82080442	7.831474255	9.141797036	7.200946653	7.373786524	7.266418637	7.220514247
Abcb1a	6.354907574	6.442020373	5.841726612	7.228232196	6.692583422	5.83228328	6.547205082	5.689327119	6.577677313	6.527812423	6.965153978	5.656446316
Abcb1b	8.568938573	7.633607032	7.044698292	8.417389963	7.877882256	6.019635945	8.699216261	5.525680534	8.245961927	8.057108512	8.323782419	5.758946713
Abcb4	6.264398185	8.040363429	5.901619147	7.230097313	7.291872111	7.417858983	5.995181476	10.69393102	6.343757793	6.557976739	7.040595126	6.795320192
Abcb9	5.896618997	6.290431777	6.520555301	5.9925192	5.975573634	6.165788025	5.946723843	6.418678243	6.130288431	6.077428879	5.973886748	5.981969069
Abcc3	5.775144505	6.673882859	6.366123429	6.097413452	6.200136811	6.065086851	5.945170684	5.933023734	6.276467819	6.234635437	6.370857673	6.231311436
Abcc5	6.549104898	7.984267488	6.797602303	7.478133494	7.650676972	7.463330093	6.771953787	8.006740662	7.291272479	7.415143866	7.314858125	7.551488717
Abcd2	7.347142974	6.164124543	7.831014769	5.270831652	6.178539372	5.723506685	8.69463009	5.080529759	6.36410926	5.327202313	6.565947957	5.946796351
Abcg2	7.286567002	7.372525998	6.940887135	8.964209541	8.00329902	7.896813525	7.004609253	9.053352354	7.692319784	8.3869758	8.409962385	8.019486206
Abcg3	4.606544879	4.759542028	4.620420237	8.188361359	7.373165899	7.496851381	4.230338811	4.411819408	5.86306251	6.52602811	7.669896525	7.74221578
Abhd12	7.849437212	7.544444042	8.159252762	7.187571801	6.863017481	6.871991458	7.695515062	6.899474147	7.106619469	7.121411777	7.17767533	7.158449632
Abhd15	8.991929654	7.751353584	7.912511951	8.400108512	8.375545734	7.327019029	7.817229489	6.616645143	8.307003806	8.23930829	8.974742672	7.639826892
Abhd8	7.077319562	7.358873576	7.513946516	7.706366161	7.045673397	7.200618129	7.029532763	7.003219364	7.625485665	7.555856408	7.449211388	7.835778206
Abi3	7.278132232	6.633417405	7.043213979	8.0445229	7.742665588	8.091619976	7.06645233	6.65480141	7.928147328	7.422408364	8.198174076	8.602239542
Abi3bp	4.689151901	4.778468806	4.690377982	4.346150834	4.538507124	4.740853823	4.741265624	4.52780226	4.641762764	4.624130146	4.536676689	4.462143957
Ablim1	5.927749523	6.862148215	6.565622561	7.946429098	6.716879351	7.626382674	6.190759044	5.49756287	7.990525788	7.524755998	7.876955827	8.339971113
Abtb2	6.043540637	6.272895674	5.889827196	5.876571788	6.399692353	5.928814829	5.80552721	5.790620881	5.949955074	5.799175399	6.279192684	6.148502004
