	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Myo1f	10.64403108	8.440135802	10.0912886	8.757148957	8.761539044	9.212694162	10.20728815	5.923315599	9.113597368	8.553340342	9.285075032	9.392473492
Myo1h	5.641868711	6.066939484	5.763840884	6.042418169	6.036552419	5.866598113	5.641920719	5.631773659	5.701244074	5.704076548	6.21837046	5.954879102
Myo3b	5.253430882	5.611741908	5.257082298	5.110336793	5.161457765	5.269309986	5.267586983	4.921448233	5.235742375	5.02066665	5.180695559	5.057398282
Myo5a	8.977080489	8.3277866	7.010693695	8.579159527	8.607448807	8.551279907	9.009335694	6.471424042	8.776104811	8.712080882	9.048280332	8.470363188
Myo6	4.938919322	5.012488224	4.565095476	5.804657654	5.666934551	5.380073697	4.65973622	5.008650472	5.067529014	5.192854986	5.740706337	5.857279376
Myo9a	8.33669251	7.547721651	5.619152778	7.258029212	7.86820461	8.174354482	7.220868091	7.29865465	7.495648399	7.714518917	7.56072285	8.309552977
Myof	5.316802241	5.885070358	5.41270476	8.557107276	7.771431364	6.925730075	5.677782586	4.992571315	7.548211957	7.056251861	8.545789771	6.414735967
Myom1	4.927634179	5.802091087	5.009929365	5.605627669	7.469756848	7.548866851	4.796540651	4.80258874	4.862833216	4.984826287	5.235935077	6.12744963
Mzt1	9.346921294	9.970797873	8.363612797	10.39136572	8.901861361	9.047785927	9.4216997	10.2637669	9.977868117	10.21761939	9.226600205	9.408518903
N28178	6.372670657	6.651043796	6.785220964	6.310031042	6.617213249	6.484513046	6.355013914	6.157644034	6.322512268	6.307687167	6.318190284	6.093902387
Naa38	8.3879089	8.622108025	8.230640145	7.999838815	7.006614822	7.300079479	8.362324934	8.865813985	8.369701374	8.173713359	7.60797482	7.99346718
Naa50	9.903414224	10.41271342	9.352263732	10.21193176	8.991876099	9.12979019	10.43076761	11.04233828	10.25346431	10.28961485	9.148630631	9.748786078
Naaa	9.435462123	6.608746419	7.005837101	7.069014678	7.242694275	6.985186932	7.271777679	6.36329375	6.670722098	6.949622473	7.088903756	6.445322809
Naalad2	3.54576249	3.945097314	3.516330387	3.157318637	3.175338297	3.489136135	3.617584517	3.403690378	3.216788532	3.19573342	3.317371609	3.188155601
Nab2	7.430842793	7.653819225	7.881031956	8.075146806	8.343980404	8.043113888	7.251271889	7.366918405	7.990084955	7.978683578	8.353261825	8.016054157
Nadk	9.586727595	8.988670487	10.03966391	9.018552207	9.162334509	8.616631666	9.525438917	9.644287311	9.098709306	9.06598879	9.221441072	8.713376719
Naga	10.44603407	8.890231288	9.498345355	9.210734326	8.935758314	9.102852486	9.243899513	7.672901211	8.978026554	9.124829429	9.39369248	9.365648799
