	PRET.DN2.TH	PRET.DN2-3.TH	PRET.DN2A.TH	PRET.DN2B.TH	PRET.DN3-4.TH	PRET.DN3A.TH	PRET.DN3B.TH	PRET.ETP.TH	PRET.ETP-2A.TH	T.4.LN.BDC	T.4.PA.BDC	T.4.PLN.BDC	T.4+8INT.TH	T.4FP3-.SP	T.4FP3+25+.AA	T.4FP3+25+.LN	T.4FP3+25+.SP	T.4INT8+.TH	T.4MEM.LN	T.4MEM.SP	T.4MEM44H62L.LN	T.4MEM44H62L.SP	T.4NVE.LN	T.4NVE.MLN	T.4NVE.PP	T.4NVE.SP	T.4SP24-.TH	T.4SP24INT.TH	T.4SP69+.TH	T.8EFF.SP.OT1.12HR.LISOVA	T.8EFF.SP.OT1.24HR.LISOVA	T.8EFF.SP.OT1.48HR.LISOVA	T.8EFF.SP.OT1.D10.LISOVA	T.8EFF.SP.OT1.D15.LISOVA	T.8EFF.SP.OT1.D15.VSVOVA	T.8EFF.SP.OT1.D5.VSVOVA	T.8EFF.SP.OT1.D6.LISOVA	T.8EFF.SP.OT1.D6.VSVOVA	T.8EFF.SP.OT1.D8.LISOVA	T.8EFF.SP.OT1.D8.VSVOVA	T.8MEM.LN	T.8MEM.SP	T.8MEM.SP.OT1.D100.LISOVA	T.8MEM.SP.OT1.D106.VSVOVA	T.8MEM.SP.OT1.D45.LISOVA	T.8MEM.SP.OT1.D45.VSVOVA	T.8NVE.LN	T.8NVE.MLN	T.8NVE.PP	T.8NVE.SP	T.8NVE.SP.OT1	T.8SP24-.TH	T.8SP24INT.TH	T.8SP69+.TH	T.DN4.TH	T.DP.TH	T.DP69+.TH	T.DPBL.TH	T.DPSM.TH	T.ISP.TH
Tmem40	7.463201195	7.017801678	7.594149156	7.158040576	6.977566144	6.728316008	6.554689121	7.297117421	7.421737915	6.581037846	6.835949963	6.605099194	7.066618081	6.856729287	6.808823061	6.553722463	6.955325592	6.806471001	6.614318202	6.639331543	6.651499981	6.60086441	6.485370471	6.977390603	6.879361468	6.569271958	6.723467093	6.655257363	6.62495869	6.673377395	6.601743061	6.656703722	6.74935459	6.925865346	6.878823414	6.634194401	6.645776581	6.838446752	6.686002735	6.942287331	7.067458383	6.904218737	6.824200981	6.835353147	6.671761125	6.730718293	6.593999572	6.692184459	7.072732519	6.813472956	6.540424105	6.661688327	6.515746613	6.76736171	6.491270023	6.684204863	6.772475579	6.506220028	6.708142623	6.436716538
Tmem45a	4.001450982	3.974088728	4.099985243	4.014074047	4.224248696	3.934953615	4.0163834	4.016499291	4.089502388	4.503931717	4.267790457	4.081160643	4.405064291	4.276861388	4.501613235	4.117794765	4.06853754	4.357690403	4.155015179	4.21583906	4.477465786	4.113108699	3.976378912	4.420394816	4.229261049	4.157035623	4.076402322	4.108836658	4.203449156	4.034462249	3.903934854	4.099417247	4.416461458	4.325700615	4.575109589	4.005370044	4.063761776	4.468915607	4.418765651	4.313565125	4.397522334	4.059764814	4.083224717	4.469921783	4.297558281	4.201118894	4.170157417	4.14446791	4.424187569	4.409897771	4.006061596	4.132881142	3.942157893	4.272431348	4.173271376	4.901806568	4.31046131	4.074548251	4.37464307	4.257294803
Tmem45b	5.096734127	5.331067412	4.917648955	5.092970623	5.300657008	5.149258011	5.148606059	5.123043973	5.364675728	5.467593595	5.428648264	5.261337741	5.61813977	5.287532628	5.26670285	4.980262987	5.337980413	5.500129616	5.379385299	5.507559985	5.273272188	5.321984599	5.370160792	5.408237451	5.451189677	5.237198486	5.243996514	5.313395822	5.459291714	5.413185604	5.174606158	4.987409553	5.298847681	5.59506598	5.785609399	5.269414722	5.249969885	5.622075254	5.429341458	5.612026096	5.391036749	5.359002181	5.49145443	5.528561943	5.279567868	5.11242491	5.148458278	5.264961721	5.494540417	5.389088358	4.895325244	5.238058196	5.105028484	5.414209967	5.246750098	5.560968626	5.393606112	5.188353446	5.475442701	5.117681192
Tmem48	8.501683289	8.30556042	8.280052955	8.342107345	8.871639975	7.476164014	9.102555433	7.869082988	7.539011819	6.29661158	6.98438029	6.430080609	6.977885118	6.542307584	6.0015328	6.762026734	6.059414769	7.307016181	6.319782294	6.493684157	6.626513606	6.447801226	6.768463572	6.471002613	6.662829279	6.855321063	7.102875401	7.504069213	7.433407118	8.11579936	8.447654128	9.079918061	5.747805395	6.256994898	6.084943352	7.726041005	7.260832993	5.974523959	5.459781321	5.479530229	6.298732232	6.477424769	6.354226457	6.061317183	6.1779158	6.119272474	6.890556131	6.734532602	6.442027287	6.250743713	7.163590978	7.462312491	7.757847332	7.59600161	8.821051231	6.513521275	7.052472049	8.571141185	6.106080958	9.205289623
Tmem51	5.552009136	5.682935611	5.269603602	5.469285271	5.674864545	5.558767633	5.567024137	5.657874338	5.735709001	5.859951332	5.855360623	5.791425134	5.959604025	5.980590504	6.373276993	5.642819963	5.675807465	5.913615489	5.814052179	5.667395439	6.079133445	5.772870098	5.992326583	6.038644687	5.712568269	5.50749418	5.834637064	5.777770374	5.992809965	5.73855619	5.569196374	5.708239667	5.910974849	6.202900237	6.394472984	6.114599542	5.863444586	6.07824476	6.17704075	6.107081737	6.253892857	6.009945782	6.152730344	6.46963205	6.052681071	6.17320807	5.650503219	5.733498061	6.447803429	6.117220576	5.538658176	5.660070076	5.741325856	5.917220094	5.688201811	5.815850348	6.210224546	5.773189329	6.022514295	5.583422805
Tmem56	3.593517116	3.757354004	3.500961352	3.860630135	3.938530455	3.743737556	3.738987556	3.562930275	3.629770425	3.875363967	3.70860111	3.721985046	4.279842694	3.857901396	3.86137645	3.687486265	3.771235903	3.86248776	3.902054279	3.686250252	3.716877523	3.779806013	3.669310286	3.882890813	3.944436817	3.677378569	3.706968839	3.772364285	3.798278673	3.722622672	3.607870792	3.678083176	3.844867676	3.836923915	4.140946306	3.596028702	3.591994503	4.102786887	3.905123013	3.703329611	4.099589774	3.644010069	3.686175534	4.020097667	3.684128637	3.722527957	3.520816133	3.831796189	3.916725034	4.163860971	3.583916167	3.593799937	3.839287785	3.836102548	3.724450187	3.947158054	3.90744192	3.522557993	3.876490752	3.761370386
Tmem64	8.161536201	8.120474807	8.271652573	8.436031254	8.01256737	8.343253684	8.141551321	8.21325314	7.965894791	8.967270553	8.918070133	8.892127479	8.685259813	9.118752939	11.37494146	10.68717129	10.43677972	7.725664594	8.70435142	9.557784307	8.959949399	9.422426586	9.393769906	9.037039611	9.331900107	9.543939214	10.06758068	9.875410507	9.724135167	8.223332604	8.497718004	8.023213761	7.473572904	7.772353287	7.578194537	7.526871651	7.52796512	7.133244641	7.592733341	7.376248413	7.779972967	7.708527541	7.558464848	7.380412145	7.703148123	7.515399443	8.094862748	7.739424645	7.411411274	7.867470468	8.00921876	8.266002526	8.223289158	8.190859272	7.98373583	7.413375188	8.079901443	7.355262697	6.983711513	8.275317977
Tmem66	8.719994295	9.056994213	9.183199654	9.645060247	8.63165363	9.239609746	8.738482669	9.197499879	8.423726483	10.12641982	9.304451947	10.11516394	9.042721026	10.00798398	10.09108805	10.05865801	9.616472939	9.381639704	9.538796153	9.574358704	9.336171715	9.443356968	10.28511758	9.934497434	9.725881633	10.12176156	10.04547164	9.659778075	9.421338539	9.045950279	9.349453818	9.301228208	9.538312725	9.405228632	9.244816554	9.737751649	9.86907656	9.722710153	9.612863952	9.806283237	9.896989768	10.0738761	9.724903124	9.441143046	9.925584258	9.859038221	10.68803199	10.34298453	9.670213932	10.16210024	10.29784498	10.63763104	9.875345996	9.874499293	8.714837245	9.333233634	9.223316996	9.07470478	9.458659652	8.821626995
Tmem71	7.38064057	7.335932492	7.585207062	7.685681951	6.540406022	7.432884543	5.869678968	7.851525438	7.863302301	9.846468974	9.337784893	9.681778779	7.475329744	10.0246794	8.633827262	9.340685025	8.959801013	7.764096418	9.84445057	9.528158118	9.314078959	9.6829431	10.06108609	9.754402905	10.53554333	10.45762964	9.687966347	7.312722647	7.923809195	8.056568898	8.534674971	7.449635653	10.63290858	10.16396614	9.889388209	9.997654655	10.55864676	10.41612506	10.72608055	10.39181339	9.642091476	10.06960663	10.23039694	10.05039259	10.2418014	10.04609202	9.838814344	9.758754104	9.803519494	9.63099372	10.32375431	9.197452699	8.346880972	8.090795222	7.026175568	7.526875041	6.556074267	7.649596779	8.285817705	6.454997267
Tmem8	6.656838602	6.826571367	7.09727684	6.690533032	6.538786972	7.04538108	6.812520045	6.656864816	6.937726321	7.525943312	7.323312418	7.258433496	6.630344795	7.531085352	7.87861725	7.766295453	7.435054302	6.691719794	7.442126567	7.6898417	7.560933736	7.572819957	7.828486455	7.560859879	7.232582577	7.731122132	7.679371483	6.989830814	6.931911513	6.475140021	6.675176567	6.398669311	7.29534957	7.362591453	7.768649817	7.267797635	7.108508427	7.149596069	7.125766804	7.524064721	7.222086138	7.466425916	7.773460796	7.388070255	7.47605476	7.783428497	7.576903521	7.349054125	6.660459003	7.446366799	7.443671293	7.05578458	6.706317807	6.722603548	6.562869746	6.525671139	6.481798355	6.440106171	6.496375529	6.559188416
