	PRET.DN2.TH	PRET.DN2-3.TH	PRET.DN2A.TH	PRET.DN2B.TH	PRET.DN3-4.TH	PRET.DN3A.TH	PRET.DN3B.TH	PRET.ETP.TH	PRET.ETP-2A.TH	T.4.LN.BDC	T.4.PA.BDC	T.4.PLN.BDC	T.4+8INT.TH	T.4FP3-.SP	T.4FP3+25+.AA	T.4FP3+25+.LN	T.4FP3+25+.SP	T.4INT8+.TH	T.4MEM.LN	T.4MEM.SP	T.4MEM44H62L.LN	T.4MEM44H62L.SP	T.4NVE.LN	T.4NVE.MLN	T.4NVE.PP	T.4NVE.SP	T.4SP24-.TH	T.4SP24INT.TH	T.4SP69+.TH	T.8EFF.SP.OT1.12HR.LISOVA	T.8EFF.SP.OT1.24HR.LISOVA	T.8EFF.SP.OT1.48HR.LISOVA	T.8EFF.SP.OT1.D10.LISOVA	T.8EFF.SP.OT1.D15.LISOVA	T.8EFF.SP.OT1.D15.VSVOVA	T.8EFF.SP.OT1.D5.VSVOVA	T.8EFF.SP.OT1.D6.LISOVA	T.8EFF.SP.OT1.D6.VSVOVA	T.8EFF.SP.OT1.D8.LISOVA	T.8EFF.SP.OT1.D8.VSVOVA	T.8MEM.LN	T.8MEM.SP	T.8MEM.SP.OT1.D100.LISOVA	T.8MEM.SP.OT1.D106.VSVOVA	T.8MEM.SP.OT1.D45.LISOVA	T.8MEM.SP.OT1.D45.VSVOVA	T.8NVE.LN	T.8NVE.MLN	T.8NVE.PP	T.8NVE.SP	T.8NVE.SP.OT1	T.8SP24-.TH	T.8SP24INT.TH	T.8SP69+.TH	T.DN4.TH	T.DP.TH	T.DP69+.TH	T.DPBL.TH	T.DPSM.TH	T.ISP.TH
Sept1	9.518775489	10.04956216	9.570798177	9.453511509	9.480695701	10.29569368	9.841514606	9.096178908	9.042245145	10.94252501	10.55036851	10.84625662	10.6136818	10.75087969	9.770585659	10.0846018	10.59351181	10.59231192	10.6963368	10.89484923	10.75393477	10.85010847	10.97274772	10.79257135	10.12033833	10.21156058	10.9224124	11.15123026	11.03798814	9.384554829	9.352485328	9.276374645	10.72668922	10.51200023	10.35725904	10.49887586	10.82190114	10.6992125	10.72321444	10.87611731	10.74487316	10.71105412	10.32754946	10.37811524	10.36944282	10.71317237	10.80477272	10.71767488	9.829664656	10.65385674	10.15005548	10.74036395	10.70742013	10.72545349	10.07220319	10.72096896	10.92751712	10.62485792	11.12431327	10.2062792
Sept3	5.570697694	5.825907712	5.638790661	5.663235018	5.710393192	5.746886004	5.77807713	5.703359144	5.876303289	5.853509179	5.788504318	5.790613062	5.984381999	6.140873387	5.791148125	5.460899797	5.987461854	5.840188768	5.880028344	5.645912968	5.767416448	5.829214479	5.6702219	5.979776144	6.064742765	5.704881645	5.771353887	5.903099345	5.873006008	5.661704952	5.828988624	5.634262177	5.916478237	6.070141701	6.254644115	5.777769497	5.603978384	6.311817932	6.056212836	5.902934597	6.141948395	5.750430534	5.662825482	6.101452583	5.683716102	5.903222292	5.832629293	5.914459283	6.199331423	6.133453928	5.582218773	5.663777249	5.591277482	5.857859107	5.612551057	6.309729779	5.995338282	5.520885261	6.077767818	5.526904506
Sept8	6.515853823	5.98896979	6.389126227	6.236472528	6.542674906	6.051447512	6.058382885	6.452814497	6.295418146	6.31387647	6.128788294	6.459260562	6.446728779	6.404355924	6.661283578	6.247707929	6.267712753	6.283724882	6.620760384	6.589441421	6.199961509	6.643720089	6.260459805	6.306348528	6.325290162	6.16301913	6.29170546	6.264656525	6.258256341	6.303713786	6.150246896	6.103522817	6.49737179	6.558433979	6.645660594	6.32407371	6.436350094	6.536206282	6.522251436	6.26185986	6.626400197	6.204480504	6.639881867	6.711042617	6.828295823	6.438756928	6.290499972	6.450913199	6.63325779	6.723911183	6.129305688	6.285257942	6.078407027	6.293036284	6.395999036	6.591252046	6.494896642	6.642808413	6.292745559	6.416711407
1100001G20Rik	6.440666553	6.607001786	6.299721801	6.506336147	6.508882329	6.665551477	6.637190471	6.507404584	6.656198162	6.644819588	6.711424009	6.332370191	6.822195623	6.393373867	6.755589086	6.596492429	6.685338199	6.724618442	6.398270553	6.58343835	6.355490881	6.564298389	6.462448831	6.430357205	6.743626042	6.601203997	6.425718888	6.698982878	6.56402853	6.660107166	6.571347646	6.51100463	6.641291685	6.292568887	6.856519526	6.425934798	6.403509742	6.58456821	6.529504476	6.57683501	6.594839627	6.652618903	6.701836421	6.649831703	6.522903184	6.546324984	6.429416785	6.518988795	6.732507096	6.530812069	6.537555961	6.504271858	6.512322241	6.369314668	6.500843473	6.459181311	6.541152386	6.419382142	6.774222168	6.386974148
1110020G09Rik	8.080637413	7.504249343	8.191942333	8.371430574	8.012640553	7.365528951	7.832304381	7.96540471	7.516950026	6.946509418	7.167468827	6.990369875	7.170605445	7.098034891	7.109433695	7.333348889	7.160504269	7.071314688	7.363197365	7.365004826	7.376618579	7.457047564	7.154178456	6.89608936	7.089045755	7.180879846	7.436769276	7.360959716	7.337133934	7.105103237	7.472755544	8.157078332	7.338482951	7.225556117	7.08513993	7.845935127	7.425565605	7.208669094	7.331072191	7.258405856	7.045438602	7.054773245	7.037481796	7.183091446	7.354287736	7.19885164	7.247785768	7.137229577	6.803256318	7.022315284	7.185952087	7.272043413	7.380661924	7.258044921	7.812544432	7.182148669	7.052389447	8.153192601	7.425966679	8.509659162
1110028C15Rik	7.900409379	8.18271191	7.816814712	8.239997035	8.255338011	7.983873749	7.923904646	7.929715067	8.285166374	6.474386828	7.135882656	6.62684502	7.211387684	6.340762234	6.686246983	7.103532959	6.69886785	6.883251787	7.032151181	6.879334509	7.568734427	7.053689892	6.719284309	6.621871166	7.025710989	6.899060498	6.666725352	6.649267197	6.775220023	5.908049896	5.795824081	4.991861931	6.657313686	6.494726006	6.58376577	5.901498478	6.053689168	5.91366176	6.579325996	6.665411721	6.098924803	6.525932613	6.676367561	6.535513343	6.771703382	6.970697998	6.674288797	6.521661156	6.574046492	6.280704587	7.013178234	6.332697194	7.237814483	6.883221234	7.695996596	8.447654541	7.369547329	9.311891556	8.683470255	8.623429533
1110059E24Rik	8.244829989	7.77066059	8.209994518	8.276336373	8.572094477	7.571417935	8.076724936	8.20836411	7.958462526	7.140489993	6.608560889	6.865845425	6.751255715	6.750847202	7.664009639	7.788652	7.015837623	6.60503448	7.002149667	7.100192051	7.448854985	7.215052426	7.163000171	7.248025272	7.329556878	7.701851897	6.848453521	6.985044583	6.840450645	7.642827422	8.042611327	8.585682541	6.865758423	6.624716999	6.453135619	7.82730311	7.655231122	6.969640164	6.894674699	6.602047046	6.818099387	7.200545876	7.367341941	6.64274994	7.158357226	6.848773148	7.059070047	7.077423182	6.784299814	6.729937909	7.937265129	7.034764855	7.134732625	6.990979812	7.956160644	6.625080008	6.525473306	7.410141791	7.115124477	7.755371659
1190002A17Rik	5.257791364	5.101960968	5.264262428	5.298456705	5.299418072	5.159565951	5.093692563	5.369664227	5.616147406	5.235910831	5.019223753	5.060729072	5.373381407	5.193575954	5.218751466	4.867924461	4.971709081	5.320046556	5.324723012	5.045881223	4.946975655	5.219329887	5.054708136	5.315806514	5.409760898	5.098983737	5.124042711	5.235461571	5.468060837	5.136401955	5.160666113	4.987989299	5.120170818	5.365588731	5.409991651	5.186280006	5.129516577	5.519059584	5.178101106	5.38892769	5.521066446	5.156798388	5.282743732	5.387503853	5.211646933	5.008997744	5.132106561	4.970223258	5.186789733	5.38546325	5.072490297	5.099211031	5.026745478	5.064815324	5.353803169	5.458495749	5.036138438	5.024678712	5.389777878	4.999164197
1190002H23Rik	8.238679558	9.267375209	8.140645493	8.984148124	9.136700494	10.18524774	9.498829332	7.763303563	7.548965978	8.17954157	7.681009601	8.088234371	8.616936818	7.856015228	8.518654992	7.407495801	7.306353845	9.629293045	7.976635719	7.077264721	8.538464185	7.771763897	8.13306119	8.143732174	7.912207636	7.834550372	8.743473341	8.334417511	8.383388938	7.537930446	7.564193196	7.458991776	6.916843243	7.202620802	6.986230587	7.231046734	6.88013286	7.05889441	6.770900386	6.786674332	7.49516322	7.104750746	7.066935538	7.493981104	7.29785033	7.298649457	8.987899132	8.558473777	8.448893244	8.539741718	7.828638774	9.806067247	10.07823351	10.33992369	8.722950712	9.204575383	8.702356258	9.362582467	9.273758929	9.147615878
1190002N15Rik	6.772172469	7.027370829	6.753900655	7.142070798	7.026051597	6.885622355	7.050741473	6.186548097	6.164762147	6.186098388	6.112589633	6.067807916	6.015210598	6.027456351	6.370690894	6.256075305	5.899460854	6.030023343	6.404108936	6.475966837	6.700196475	6.829214056	6.008737858	6.017126871	5.97252724	6.161491189	6.045397099	6.30504818	6.015568188	5.856608123	6.14948836	6.699739009	6.657056865	6.700904358	6.757158626	6.842877874	6.708112726	6.439614827	6.572291452	6.777879937	6.137524699	6.237078634	6.683819948	6.820833134	6.996593249	7.012294902	6.30552736	6.091771756	6.333036649	6.053993197	6.199184821	6.266238087	6.374317324	6.175756116	7.096607289	6.514519972	6.477153813	6.681046743	6.436314	7.141077823
1190003J15Rik	5.904580435	6.178438782	5.916688017	6.037300947	6.076824146	5.978136889	5.911690783	5.804768635	6.062095801	6.173751746	6.27328742	6.114446848	6.257469562	6.270463534	6.120044987	5.861754425	6.123611366	6.191042759	6.056623265	5.901479974	5.954374697	6.013662496	6.072186567	6.443111524	6.143140321	6.058998281	5.975954172	5.912193961	6.022232415	5.970789247	5.861684958	6.01140842	5.987324656	6.416367434	6.421906608	5.915164724	6.000625032	6.388218818	6.27595003	6.340973443	6.332942397	6.164016571	6.234961095	6.355574862	6.099039512	5.815866568	5.921638648	6.126744389	6.28449871	6.20584993	6.124922242	5.942218116	5.859820502	5.872101484	6.057758563	6.202032377	6.051797683	5.890852789	6.197423129	5.784524049
1300002K09Rik	5.900710658	6.265983467	5.92581907	5.897213798	6.263031901	6.238149299	6.014259318	6.045437146	6.128382082	6.311148865	6.144969179	6.485498209	6.437865237	6.38735852	6.329056006	5.852127881	6.493517647	6.219016174	6.387150547	6.141762472	6.17162451	6.245102636	6.231358802	6.223498493	6.541688289	6.085310454	6.252966238	6.066316702	6.335851824	6.064078065	6.074383408	5.777649845	6.24436891	6.490641258	6.744522397	6.211282868	6.031914174	6.692097956	6.342205668	6.519470615	6.584913909	6.278275984	6.320856496	6.634623034	6.260681534	6.21669607	6.285097618	6.285076651	6.759367588	6.469253791	6.142756507	6.22329833	6.072634635	6.177981556	6.100102321	6.680122249	6.308851088	6.014998678	6.525128729	6.021682555
1300014I06Rik	5.122454614	4.952748235	5.333203663	5.247895242	5.28303895	5.129588012	5.147730001	5.588202919	5.607004746	5.349119901	5.247857275	5.308143623	5.419191659	5.28170814	7.117791648	5.581009717	5.222012376	5.210820029	5.193837439	5.213865677	5.591471981	5.40486453	5.257884371	5.55304301	5.388120639	5.512138375	5.322798258	5.162690747	5.176572776	5.425416782	5.450090596	5.378475209	5.126206111	5.299087102	5.680173834	5.052739027	5.22435161	5.410134157	5.142398461	5.338645473	5.578313812	5.403242723	5.241971077	5.062199441	5.319319871	5.370370066	5.189908878	5.403890301	5.516770557	5.895044051	5.271917398	5.292272545	5.315754597	5.374164278	4.980777841	5.647772116	5.398988751	5.102673527	5.415736135	5.192818829
1600029D21Rik	5.823138769	5.739595663	5.712350909	6.033228059	5.774739628	5.997062781	5.696560501	5.692408599	5.874292869	6.078847475	5.874944473	5.816761817	6.022543145	5.789611891	5.891251478	5.541318651	5.90363485	5.77569148	5.854424601	5.912475824	5.682449697	5.889097082	5.95584206	5.991363868	5.825629191	5.848778781	5.729714088	5.649328041	5.728583579	5.751760949	5.624889501	5.53180251	6.098376744	5.963397826	6.239432413	5.951350776	5.711485729	6.150481826	5.827820718	6.150438499	6.276646784	5.771654088	6.130681753	6.313455383	5.901797318	5.992498806	5.799866137	5.832766831	6.144845832	5.968389554	5.514769276	5.719001769	5.473956796	5.947740175	5.762765156	5.740473387	5.966230489	5.726089157	5.951475896	5.616925182
1700009J07Rik	5.445179322	5.351649528	5.17469004	5.128639844	5.622701008	5.555210816	5.331416209	5.249176043	5.476148349	5.425803913	5.721836074	5.250775921	5.621683653	5.452259364	5.493059113	5.057772279	5.546777188	5.573200804	5.317188278	5.55052517	5.401763563	5.262289071	5.401529214	5.587010875	5.4181832	5.356873603	5.278708392	5.401711236	5.362226731	5.278077701	5.217072993	4.981775038	5.399156279	5.247116086	5.795083771	5.321027331	5.177286641	5.38940505	5.450140097	5.700115075	5.669444466	5.419210765	5.522823693	5.770472292	5.408708465	5.37413645	5.17669909	5.501031439	5.785698754	5.329092493	5.177673337	5.146788256	5.162987419	5.320312574	5.475230832	5.57050341	5.26189558	5.127664918	5.472303632	5.060943744
1700009P17Rik	5.376548547	5.420062953	5.301719327	5.038831218	5.355069138	5.297734343	4.977551643	5.491407395	5.512972697	5.069309765	5.087986784	5.07548842	5.29026711	5.256122494	5.182252643	4.936257881	5.367299418	5.124271606	5.422661349	5.146147409	5.299283739	5.386257991	5.07347751	5.376263754	5.231029129	5.145340176	5.184069985	5.132162783	5.148673843	5.105479739	4.944728847	4.843313076	5.508564929	5.303831881	5.87947175	5.448684046	5.57123892	5.57176781	5.702199472	5.763906376	5.141678015	4.957352822	5.439382668	5.580094217	5.493889065	5.782075637	5.152194238	5.228905891	5.569138639	5.385829046	5.133686814	5.069965617	5.026913641	5.524385521	5.18044627	5.720510139	5.6314458	5.162904196	5.395278776	4.931977679
1700018A14Rik	5.799557936	5.988273403	5.691334552	6.032421578	6.291192192	6.125797794	5.954806612	6.012041943	5.894115643	6.358028719	6.34724221	6.393383593	6.594647572	6.315349457	6.335822056	5.613841021	6.511394505	6.171417018	6.276958755	6.004326101	6.280507257	6.147422034	6.169673176	6.58026108	6.525638256	5.911369216	6.09872413	6.238456968	6.141402135	5.888575229	5.696617065	5.807570022	6.344633237	6.606762495	6.940578471	6.044757662	6.228044557	6.734234513	6.687079356	6.354195303	6.627299435	6.201882783	6.34589013	6.679694025	6.624288825	6.48327621	6.183976064	6.134711066	6.315762445	6.669168533	5.932195063	5.989547017	6.145853366	6.284323494	6.011803473	6.561122947	6.337190739	5.871756598	6.415872443	5.627325703
1700019A02Rik	3.150852085	3.2857573	3.204954508	3.331232265	3.439795985	3.286210888	3.312147205	3.265531912	3.32154573	3.537863424	3.541130697	3.659958799	3.622461867	3.603256413	3.33817717	3.250486659	3.517905554	3.395465015	3.338956799	3.533704537	3.332951346	3.342744361	3.655752522	3.879895238	3.587671021	3.280874678	3.369903809	3.440323262	3.417231432	3.350567966	3.416677632	3.328017824	3.446000317	3.446864945	3.625083418	3.344606017	3.578632838	3.546095999	3.582636285	3.505916329	3.511257177	3.526440292	3.32385521	3.695102986	3.287612657	3.818305222	3.489238917	3.561155032	3.415767679	4.247433875	3.518505765	3.449253215	3.685891572	3.484262756	3.229823738	4.481994199	3.796850362	3.475595098	3.373193455	3.412898923
1700019B03Rik	4.023616129	4.120758346	4.255678227	4.229411036	4.489328845	4.110480178	3.964549579	4.357329132	4.279720143	4.19224941	4.148840578	4.159997778	4.301434005	4.35592072	4.550631878	4.049343245	4.363160562	4.235867442	4.344792997	4.214523771	4.132091476	4.245153355	4.294145285	4.479609987	4.253127021	4.137759661	4.155749233	4.017339963	4.061050348	4.122236476	4.153432457	4.062393746	4.439833654	4.48861355	5.056425291	4.213984882	4.164855988	4.563424594	4.468359576	4.612505843	4.405220902	4.20973148	4.316442652	4.821636242	4.811774129	4.374990761	4.176405225	4.43977161	4.498112549	4.485622179	4.318090235	4.045620617	4.288122278	4.319940617	4.040454121	4.455552992	4.4890826	4.046200001	4.292381763	3.901423658
1700021A07Rik	5.705141154	6.076498169	5.461102865	5.612339228	6.451811148	5.813640976	6.187023408	5.734655433	5.907387038	6.291467268	6.436913047	6.658503325	6.134545427	6.555213373	6.417096941	7.017686635	6.56497942	6.073840223	6.332738362	6.942188396	6.289654363	6.532423983	6.396619622	6.594632645	6.424589585	6.828685842	6.076854068	5.985444264	5.810876636	7.310285582	7.447205581	7.518608704	6.577364875	6.729601259	7.065397823	7.043728359	7.148351162	6.659141079	6.417692769	6.675672463	6.764399238	7.109960165	7.593368961	6.597711425	7.07210044	7.05212494	6.805407687	6.941415058	6.810291851	6.572376855	7.978925299	6.329085913	5.963670632	6.169949046	6.991222883	6.673279391	6.486971208	5.88021614	6.445188152	5.964883762
1700021K19Rik	7.621374497	7.593984887	7.366125907	7.466985547	7.627337134	7.396536569	7.917586106	7.398265136	7.408866379	7.431818214	7.125459967	7.335790799	7.057519229	7.446481772	7.241087631	7.534488355	7.606512185	7.101399003	7.263157756	7.480633774	7.274891538	7.306878302	7.57519079	7.240924865	7.260606739	7.524246878	7.566973923	7.393591241	7.360440073	7.159681655	7.138723356	7.366506693	7.481929638	7.492471185	7.297266631	7.408153931	7.549113628	7.2678123	7.461805739	7.321109133	7.472747151	7.282076491	7.507878927	7.396035297	7.604775222	7.483393653	7.421731604	7.460747478	7.071750516	7.336785922	7.202335762	7.324062005	7.015718706	7.130097909	7.715732101	7.250771816	7.170325694	7.673730014	7.067639792	7.929267287
1700029F09Rik	9.098549307	8.394871436	9.174918319	9.148465269	9.581784699	8.101500908	9.415254803	8.644370178	7.766922076	6.864384269	6.88044677	6.776747529	6.54897548	6.877615024	8.694422663	7.922678547	6.376769627	7.01414548	6.626746723	6.921875046	7.225781669	7.13721762	7.022958827	6.165816158	6.885470039	7.578655164	7.001411947	7.003595865	7.042685919	9.081520542	9.558967265	9.884699258	7.031502535	6.949146582	6.433522015	8.072386678	7.920245853	6.726838936	6.790590474	6.748088167	6.659279063	6.645943701	6.822029446	6.729947649	7.678476902	6.606328218	7.073780253	6.877828077	6.733076803	6.691737472	7.734349918	7.393252868	7.45142434	7.205034688	9.239869462	7.202424905	6.855985546	8.777125426	7.053154066	9.206209506
1700040L02Rik	6.900031533	8.104768565	6.585981795	6.957962177	6.88487424	7.633902441	6.902209479	7.329322462	7.042954532	5.806318901	5.557397836	5.673099385	5.87012795	5.900985921	5.843971286	6.525619465	6.134694298	5.358238001	6.154088984	6.161535025	6.187790837	6.277425657	5.910979645	5.791866153	5.642346341	5.923474273	6.014589623	5.629776252	5.741162235	5.506216854	5.587777016	5.964686265	5.653659104	5.613866554	6.03149886	6.225201652	5.542376721	5.920778405	5.853969873	5.898491348	5.834115363	5.64731451	5.72334012	6.088186129	5.796880638	6.027222627	5.967811097	5.880369626	6.001546311	5.917888393	5.947903781	5.867804234	5.579467805	5.979518561	6.371026756	5.889937493	5.724183667	5.541341369	5.651248822	6.016037159
1700047G07Rik	6.558132401	6.461599769	6.912335498	6.419441978	6.499131536	6.475722084	6.553527927	6.974005338	6.921143516	6.754688005	6.172532519	6.554664054	6.603891371	6.78388135	6.820145767	6.271591884	7.102864381	6.199684122	7.031513563	5.966834953	6.727939962	6.63422248	7.021779887	6.887858693	6.816989381	6.279100267	7.008140615	6.956933282	6.965854302	6.373544976	6.40967379	6.152182405	6.539078659	6.482273392	7.383428685	6.732115406	6.224280858	7.140179112	6.477887759	6.631156194	7.181277178	6.339673069	6.36727903	6.827035871	6.684132846	6.221812651	6.891592547	6.580286711	6.848692204	7.88428878	6.200061591	6.79794593	6.223090414	7.064877464	6.288560358	7.267299824	6.844443404	6.09469986	6.128861826	6.391614224
1700048O20Rik	6.610724174	7.863824187	6.820667864	7.451245736	6.981690569	8.377233816	7.366804781	6.290674441	6.156208501	5.248405801	5.321255281	5.245898721	5.285335631	5.144314266	5.559629468	5.28887899	5.401207207	5.425075439	5.042569925	5.056806042	5.296506353	5.140854987	5.039274408	5.360601897	5.183770341	5.065434446	5.09895848	4.98059355	5.166584236	5.341734368	5.674768525	5.965451849	5.389701026	5.460765495	5.767354205	5.786803691	5.59484908	5.621167867	5.557674554	5.667127631	5.502367734	5.124268849	5.178555307	5.349138777	5.459866001	5.275226863	5.181251001	5.2334305	5.47646486	5.591220624	5.356413821	4.989694598	5.22742662	5.484219783	6.32679079	5.513893894	5.415202047	5.653430773	5.291883466	6.387073555
1700058C13Rik	4.00272352	4.079723702	3.874619937	3.930983284	4.270895176	3.888691303	4.019820503	3.903099345	4.037874166	4.263710511	4.345495731	4.420581211	4.70847604	4.506610404	4.184364939	4.116946908	4.280065486	4.222018818	4.306152852	4.049703365	4.250921162	4.373337322	4.275948168	4.480461174	4.153732389	4.049044772	4.398690116	4.451718851	4.298643654	4.218559038	3.950309765	4.102792486	4.542402518	4.435152951	4.834511502	3.954370044	4.050823808	4.417161656	4.381848618	4.354825904	4.455936504	4.161530323	4.26874378	4.353189179	4.499632257	4.289104082	4.234657149	4.451428736	4.839318023	4.94794507	3.979879012	4.209206396	4.131819928	4.425253395	4.196916489	5.13621053	4.319767244	4.177338472	4.588848531	4.252498922
1700069B07Rik	6.119167319	6.11795576	6.062107677	6.072713586	6.361286445	6.211824714	6.044512882	6.237287731	6.155091436	6.498399279	6.295686296	6.235234974	6.732699284	6.520368814	6.457200274	6.008426381	6.442718783	6.454254871	6.350259725	6.356296431	6.485240038	6.319940616	6.392979651	6.541273214	6.562272194	6.360153985	6.283587845	6.158363286	6.270132084	6.349151755	6.220664662	6.131129515	6.557317159	6.807378537	7.06343553	6.241919611	6.263264192	6.803975231	6.70486551	6.772738164	6.620577614	6.516924952	6.444312577	6.492657575	6.424345197	6.517989514	6.200721434	6.583211168	7.041968646	6.551502175	6.235683666	6.238858814	6.106346225	6.099385686	6.209907548	6.580923819	6.498178518	6.152754001	6.579608093	6.01734516
1700106N22Rik	6.93349789	7.236412254	7.009005025	6.459390632	6.685184694	6.643209237	6.674820302	6.777918063	6.785826458	6.375774497	6.510138304	6.595092344	7.088887859	6.175921747	7.145446837	7.145904302	6.579310657	6.813999609	6.906884584	7.016372257	7.283252915	6.787259623	6.226057617	6.114852839	5.802805844	6.256672919	6.452269799	6.898455877	7.108617149	5.961833205	6.241684493	6.297628892	6.228809072	6.372020521	5.905031929	6.032316879	6.125649035	5.755831179	5.974829078	6.193242132	6.109530508	6.204019391	6.40823462	5.910242168	6.285049825	6.076564083	6.352598468	6.276570486	5.950411645	5.853599833	6.393951551	6.376337273	6.590866954	6.711057994	6.660178491	6.378604679	6.526409512	6.808582837	6.72369962	6.461936672
1700110M21Rik	5.510486216	5.44784695	5.247302843	5.239684444	5.490613984	5.70745853	5.527947141	5.412879734	5.477848913	5.407266631	5.476284468	5.573928883	5.815907545	5.405293527	5.720266607	5.408924672	5.679146482	5.572090307	5.706062655	5.442602957	5.643648427	5.723801538	5.787691036	5.563859778	6.006016325	5.558455154	5.631926893	5.62603606	5.63371697	5.484204742	5.288466846	5.018162337	5.966058178	6.006865743	6.316521395	5.770551578	5.468711464	5.77779141	5.733539637	5.7543308	6.088979702	5.590066014	5.665376663	6.035537038	6.047801193	5.73138149	5.569196374	5.532685795	6.401385287	6.005953843	5.558773754	5.474300831	5.443392264	5.524367758	5.678686986	6.065940607	6.020786641	5.434563736	5.556913707	5.426849543
1810011H11Rik	5.074742327	5.326724288	4.995995477	5.33375646	5.371584417	5.335455862	5.197259949	5.639841841	5.429277845	5.257346353	5.706801274	5.093217884	5.581477794	5.118309885	8.495700358	5.238580527	5.871504861	5.454208801	5.217574544	8.003216365	5.123325456	7.836385577	5.331301545	5.342803612	5.266505469	5.403925512	5.136481253	5.118959063	5.155260805	5.048361172	5.176184454	4.952478015	5.091544697	5.314591401	5.391324369	5.1919929	5.040174995	5.200450732	5.239229992	5.773360788	5.196996463	5.385150294	5.481813421	5.477915275	5.533862321	5.770858992	4.980238611	5.418269796	5.663675744	5.126045001	5.120296638	5.126905421	4.979465972	5.20145482	5.328242877	5.18575028	5.450058694	5.052450674	5.545148798	5.062723285
1810011O10Rik	3.869854959	3.799812617	3.88499346	3.887242553	4.059995487	4.016068369	3.81940932	3.739938088	4.038260575	3.932436037	4.049996622	3.896162036	4.053288041	4.479538852	3.987420923	3.720212787	4.233378089	4.080541129	3.918720153	3.934648593	4.118102198	4.01985015	4.0807344	4.191865286	4.073571767	3.779488243	3.842147492	4.058469475	3.771716585	3.717085974	3.761909314	3.796743096	4.186600918	4.016609231	4.537491768	4.054136502	3.788650913	4.219834524	3.998559591	4.103788556	4.150570507	3.916295102	3.91925744	4.088582617	4.113662998	4.170558045	3.924875831	3.961184959	4.377447706	4.338726282	3.86345615	3.821179565	4.020202886	4.048526834	3.872122831	4.222804561	4.483519148	3.880816109	3.937623738	3.963637497
1810033B17Rik	5.508471967	5.344512518	5.357705063	5.455351882	6.099525254	5.438898284	5.662873892	5.376861059	5.629311444	5.720658792	5.464459166	5.466232299	5.580021837	5.419059037	5.640341354	5.321741735	5.919207774	5.583671513	5.620747678	5.504100208	5.436817017	5.325260476	5.328884323	5.405946991	5.586689695	5.53801739	5.543701055	5.450989057	5.457605235	5.594020978	5.697647808	5.766335432	5.480048572	5.881955772	5.968260132	5.724650272	5.524430448	5.68480191	5.637559049	5.636187638	5.502657331	5.522757795	5.651080401	5.788479522	5.614172414	5.735136721	5.488755995	5.587015877	5.93147584	5.558634997	5.3950068	5.35399484	5.224204956	5.390838475	5.319974325	5.623843456	5.53390903	5.464146546	5.620068276	5.267453399
1810046K07Rik	6.704680644	6.905252809	6.327593061	6.518782963	6.737797159	7.044157659	6.696544737	6.718969814	7.02370058	6.829620845	6.964836989	6.807558431	6.901157732	6.798573756	7.106831608	6.516435977	7.020196589	6.964459089	7.152050206	6.887247834	6.662402536	6.693032936	6.765388878	6.846938709	6.91030154	6.917120518	6.740454948	6.798917151	6.923582622	6.830955	6.703416826	6.65315821	7.04036754	6.992875663	7.189763292	6.788465166	6.576456129	6.806613203	6.922040422	7.175023523	7.397800966	6.964154851	6.941530478	7.338892787	6.891729639	6.933060727	6.668997938	6.763174736	7.003789232	6.933672953	6.644308163	6.691752824	6.690360288	6.63012391	6.836762372	6.79504956	6.895900388	6.651754446	6.989919347	6.81926965
2010001M09Rik	6.68619328	6.991307552	6.664782897	7.083982388	6.454313553	7.14592841	6.378086151	6.122060423	6.296939143	6.203716685	6.268013247	6.257204901	6.216403774	6.06935345	6.393848615	5.855815328	6.046253123	6.265001116	5.930743644	6.192152073	5.962730235	6.100983953	6.261676231	6.296091487	6.134132617	6.09631826	6.038731738	6.221761748	5.965359493	6.02058665	5.83694579	5.773892179	6.129085148	6.392177154	6.170183461	6.095277453	5.986050596	6.592738572	6.36423915	6.359290401	6.349661326	6.244150686	6.253664094	6.239795171	6.458888866	6.190267839	6.054412217	6.228207499	6.445427104	6.238359515	6.004057129	6.018273633	6.05310844	6.02621652	6.124883653	6.337326346	6.246589236	6.254915857	6.318833805	6.116112418
2010002M12Rik	3.611148768	3.664016278	3.662023157	3.779758746	3.919810415	3.794540635	3.464071376	3.620281418	3.560867774	4.980924038	4.268089998	4.537368552	4.270915105	4.841887601	4.001811248	4.650027325	4.612281719	4.285863314	4.459910252	4.139979663	4.373047253	4.626174326	4.986190949	4.729485701	4.393580945	4.972843118	4.789937869	4.107291716	4.3085065	4.504817399	4.454419393	4.022421081	4.621768623	4.348475586	4.872348602	3.887577258	4.231798464	4.221495611	4.720592219	4.476102973	4.539051252	4.439379343	4.354743641	4.70969868	4.748861032	4.460150601	4.724170021	4.890874671	4.755300659	4.470100802	5.267608206	4.663242135	4.677724339	4.618258236	3.493745526	4.249088795	4.241296148	3.720125212	3.644398541	3.582836968
