	MO.6C+II-.BL	MO.6C+II-.BM	MO.6C+II-.LN	MO.6C+II+.BL	MO.6C-II-.BL	MO.6C-II-.BM	MO.6C-II+.BL	MO.6C-IIINT.BL
Sept1	5.376764998	6.419740001	7.251579297	5.667278102	5.979398899	6.852186988	6.579581444	5.700366472
Sept3	5.63122751	5.999444606	5.83433536	5.821083449	5.649076503	5.926277806	6.083232519	5.766762106
Sept8	6.621336397	6.852653512	6.488144347	6.762670383	6.069967407	6.591577199	6.832600813	6.037087415
1100001G20Rik	6.677869952	8.371879571	6.824259546	6.632018049	6.73802063	6.690146076	6.595900443	6.597495121
1110020G09Rik	7.437248272	7.686831049	7.038585065	7.266763432	7.40120422	7.08844764	7.085514418	7.376940624
1110028C15Rik	7.295642525	5.457526441	6.166405479	6.942449211	6.982302855	5.621413084	5.92936731	7.308313544
1110059E24Rik	7.478529656	7.621769844	7.129771047	7.180235732	7.455971562	7.382416235	6.586132713	7.66270426
1190002A17Rik	7.204292359	8.040057154	5.622782014	6.173841673	5.250114575	6.163812678	6.282416637	5.134903512
1190002H23Rik	6.533440834	7.456069613	7.565704552	6.78184228	6.932054083	7.25733818	7.188001264	6.728701748
1190002N15Rik	6.010426281	5.709608626	5.82169236	5.95903363	6.028728264	5.638015896	5.601949025	6.160601579
1190003J15Rik	5.92564582	6.265228713	6.151431989	6.027259495	6.290019769	6.302465287	6.275186814	6.066664001
1300002K09Rik	6.19267288	6.317579034	6.722266092	6.56455194	6.4792532	6.492185412	6.796604243	6.262305736
1300014I06Rik	4.988764961	5.458669631	6.273832268	5.262423135	4.96102594	5.444567686	5.671335837	5.118227645
1600029D21Rik	5.839759759	5.989023169	5.664417417	5.87480762	5.872785675	5.995232741	5.8075082	5.907273821
1700009J07Rik	5.434434743	5.558794158	5.51636611	5.379907403	5.632036959	5.656460141	5.945384137	5.39680683
1700009P17Rik	5.606397809	5.570276713	5.812471699	5.812318519	5.650709998	5.581112184	6.577497562	5.535053239
1700018A14Rik	5.900399919	6.316791383	6.278935695	6.237171074	6.164086318	6.199548026	7.014528254	5.912659445
1700019A02Rik	3.292413668	3.249632429	3.485735943	3.362170612	3.332822486	3.281841647	3.915826808	3.1537794
1700019B03Rik	4.021621858	4.359657037	4.451769396	4.4509099	4.482635347	4.264045942	4.544961343	4.285591606
1700021A07Rik	5.57165052	5.886621679	5.766478554	5.415936649	5.953636576	6.035758789	5.737930074	5.721409847
1700021K19Rik	7.816721078	8.334734516	7.713115651	7.726786268	7.623102334	8.189020312	7.870893919	7.750334098
1700029F09Rik	6.249131155	7.744260008	6.960200845	6.577962501	6.765326548	7.165957483	6.502180207	7.116530486
1700040L02Rik	5.188536758	6.054472998	5.370798983	5.37332224	5.525016463	5.977655433	5.580914275	5.189641147
1700047G07Rik	5.850731926	7.026571393	6.881959441	6.568099514	6.053571882	7.135506825	7.338181479	5.564648267
1700048O20Rik	4.997342093	5.519129845	5.095671293	5.161174218	5.087914673	5.361046597	5.308544725	4.936070642
1700058C13Rik	3.956162	4.400116626	4.274137393	4.197535181	4.268614046	4.098804122	4.618103543	3.995943937
1700069B07Rik	6.200692012	6.289090553	6.314176868	6.286206575	6.307477707	6.525827194	7.079503451	6.279224635
1700106N22Rik	6.756968113	6.743960558	6.52673292	6.570485701	7.086750335	7.340867249	6.840043331	7.184565948
1700110M21Rik	5.490302702	5.895519139	5.943476763	5.546303889	5.918924044	5.743325562	6.028463068	5.637797439
1810011H11Rik	6.584234959	6.827089873	6.160702413	6.220206758	5.955072133	5.861618795	6.288203505	5.942545001
1810011O10Rik	3.660198462	4.023151834	4.320592984	4.091908538	4.118945224	3.817132044	4.223488196	3.952603813
1810033B17Rik	10.31306169	10.78049783	10.42611552	8.865038816	8.147646063	9.536225324	8.887530754	9.02666043
1810046K07Rik	6.753652668	6.991582311	7.038178984	6.922092767	7.163320095	7.115383578	6.970694931	6.867921414
2010001M09Rik	6.101984072	6.181394798	6.990594142	6.456368654	6.487312691	6.33161446	6.399928139	6.169468076
2010002M12Rik	3.899942543	4.303668737	3.883161348	3.795444882	3.693230456	4.057415612	4.210459002	3.720981033
2010002N04Rik	8.288891753	8.24584486	8.459349918	8.380483288	7.369675422	7.984053822	8.222752165	7.605936367
2010007H06Rik	5.140766388	5.152122562	5.693844683	5.261441804	5.287174904	5.217180299	5.38430198	5.134496964
2010110P09Rik	5.677696154	6.04790114	5.963334626	5.897611541	5.877731982	5.961523781	6.282008823	5.7394566
2010300C02Rik	5.965543431	6.389892574	6.422530728	6.155874012	6.26187302	6.474451186	6.435415241	6.026768638
2210010C17Rik	5.153821546	5.522918873	5.6620507	5.444233054	5.461153627	5.620689038	5.780542392	5.137946101
2210020M01Rik	7.00571586	7.910871145	6.30976494	6.841586572	6.021104347	6.251306294	7.117569861	5.740381456
2310015D24Rik	5.608713651	5.664992851	5.868434904	5.617000634	5.831096921	5.960343349	5.717151337	5.844032569
2310016C08Rik	5.733030692	6.007937742	6.374710297	5.844373935	5.741985994	6.057347012	5.853288344	5.997828915
2310044G17Rik	7.139281546	7.306542355	6.69852688	7.012741104	7.028455332	7.266766867	6.61836935	6.971478947
2310061C15Rik	6.233146689	8.534418838	6.580590227	6.134383193	6.475464319	7.668815742	6.447332059	6.389296625
2410066E13Rik	5.850039278	6.082645115	6.322022468	6.105550278	6.286055908	6.506207331	6.163310534	6.171363773
2410127L17Rik	6.82120976	6.744923961	6.625132137	6.446483977	5.865736982	5.707721716	6.152655991	6.549624509
2610018G03Rik	7.89873298	8.231581849	6.470106769	6.319678142	6.772825242	7.15283646	5.693075696	6.905273631
2610019F03Rik	5.300093211	5.700297291	5.997774882	5.369230319	5.405682691	5.750642232	6.19931997	5.132430427
2610020H08Rik	5.69489876	5.886246912	5.702088627	5.462867041	6.194237785	5.363241177	5.506787573	6.222465714
2610034B18Rik	5.869527632	5.937100312	6.584611803	6.045531797	6.083215496	6.155030026	6.306952102	6.055198258
2610318N02Rik	6.007489304	7.981590494	6.032844339	6.079016076	6.157851159	7.919723233	6.726622126	5.979057694
2610528A11Rik	6.135504772	6.510706683	6.360543958	6.480461713	6.864202862	6.501767668	6.212030367	6.578123873
2610528E23Rik	5.856342523	6.763449199	6.037397598	6.076226287	6.010048013	6.578618749	6.263795002	5.832864197
2810026P18Rik	7.118960101	7.995113999	7.495030471	7.242815884	7.214885887	7.922481332	7.639769021	7.317371729
2810055G20Rik	4.216077133	3.680519403	4.105010319	3.887392042	3.802679204	3.47469994	3.996361628	3.396480113
2810417H13Rik	6.395903098	9.881484761	6.804039787	6.173001472	6.081248007	8.74132653	6.188286182	6.259754184
2900026A02Rik	6.339120159	6.638286749	6.477184042	6.889942358	7.404599606	8.104675626	6.923132538	7.413944018
3110007F17Rik	4.529739754	4.550250156	4.56138113	4.696971235	4.471337056	4.573626992	4.929516443	4.503031918
3110043O21Rik	8.262504882	7.275262564	7.406158509	8.078994913	7.83621261	7.221605487	7.30313413	8.176982826
3110052M02Rik	7.024277195	4.833099232	5.989375198	6.259885094	6.527756916	4.270087844	5.434182841	6.831470413
3425401B19Rik	4.810465383	4.982715273	5.150903521	5.101389547	5.014812758	4.834175212	5.034779158	4.829065097
3830403N18Rik	3.553860158	3.363428094	3.887115799	3.574347791	3.403683562	3.255601441	3.546048654	3.42560969
4631416L12Rik	4.832643638	5.023755093	5.071995721	4.900662362	5.107426336	5.179418159	5.402647148	4.880793258
4632434I11Rik	5.213667413	5.935735531	5.072025744	4.907454739	5.283786606	5.11890094	5.043878154	5.461364846
4831426I19Rik	8.423759953	8.483575308	7.342711477	8.138551181	8.078164687	8.520983188	7.609337962	8.145924709
4833422F24Rik	6.557801663	6.869548194	6.899704941	8.139658272	6.582025281	6.779021529	8.03855827	6.24521878
4833442J19Rik	6.964750945	5.500553511	5.909427507	6.130886265	5.799846283	5.806978742	6.465669247	6.072804678
4930408O17Rik	5.785995985	5.907244814	6.285667922	6.033207866	6.22540605	6.040992493	6.177206233	5.936836723
4930422G04Rik	5.680528781	6.515093201	5.613600407	5.746131791	5.7256212	6.316925905	5.587456507	6.092167682
4930427A07Rik	6.105922473	7.960998535	6.450134597	6.199862075	6.566734495	7.616218487	6.434331319	6.372221165
4930431A04Rik	4.312052789	4.527656322	4.381271834	4.362713006	4.339347644	4.458364504	4.693980317	4.252529198
4930438A08Rik	5.852346814	7.253362173	5.794614277	5.752440862	5.851589149	5.875540085	5.72431193	5.704769622
4930447A16Rik	4.453690964	4.119251028	4.289227068	4.39411166	4.509369647	4.332228149	4.726485212	4.440899059
4930447C04Rik	3.235063247	3.051946281	3.012735518	3.119881804	2.978772226	3.084308096	3.341437874	3.009146485
4930503L19Rik	6.601850998	5.179071752	5.302432385	6.193823643	5.865990552	4.609896767	5.973682444	5.948812938
4930506M07Rik	6.717266059	5.402278769	7.00220181	7.014703426	6.331240328	5.362001071	7.293825209	6.511338363
4930515G01Rik	5.6161126	6.217310864	6.014669212	5.571933617	5.623937076	6.456772753	6.547706615	5.384100936
4930521A18Rik	3.420024203	3.312152047	3.237334264	3.483605134	3.365909457	3.126168933	4.329959543	3.392438329
4930524L23Rik	4.633392459	4.668410388	4.583854005	4.610810284	4.784943634	4.708027173	4.816871018	4.797402142
4930547N16Rik	4.867286978	6.865977772	5.223556413	4.970919592	5.07879127	5.630720949	5.088680132	4.941921354
4930555G01Rik	4.469082809	4.726838481	4.822147175	4.545356823	4.598543864	4.87992137	4.795496833	4.59191514
4930562F07Rik	6.33515331	5.913757486	6.739814357	6.529419101	6.288715685	5.730707878	6.415993531	6.138284089
4930572J05Rik	6.964995781	7.349341981	6.922718384	6.826820053	7.296277518	7.410938881	7.112010414	7.315248849
4930579C12Rik	4.057620671	3.939693607	5.128626098	4.258310369	4.837468991	4.180503292	4.229430264	5.455127284
4930579G24Rik	7.027084366	8.789437462	6.923800085	6.807404729	7.077435823	8.396434388	7.234129083	7.119076617
4931406C07Rik	7.115785838	6.769682714	6.917449658	7.048968147	7.027261338	6.706324255	6.977177443	7.376034027
4932438A13Rik	9.501123886	7.026744002	8.891051134	8.99373285	9.275075045	7.062011588	8.120506689	9.333610544
4932438H23Rik	5.387502704	5.174570207	5.58132212	5.665875938	5.577634265	5.370336352	5.586356432	5.316293481
4933407I18Rik	4.880636553	5.355661187	5.149390804	5.188520933	5.163808653	5.364064598	5.512258496	4.989169896
4933409K07Rik	6.083331815	6.271302408	6.225860379	6.156951382	6.293341973	6.312918644	6.05265173	6.230134213
4933416I08Rik	5.505401905	5.801266458	5.362833381	5.739810307	5.770867359	5.606803449	6.14045659	5.422397851
5031414D18Rik	8.746080608	8.35466446	8.573440677	8.603778889	9.732904784	9.584346907	8.882709528	9.903423755
5031439G07Rik	9.776691773	10.31184824	9.258338168	9.850502175	9.519242111	10.25052479	9.556360437	9.609694359
5430435G22Rik	7.928228574	7.083214078	6.769441612	7.649973694	5.621455578	6.403267722	7.036991183	5.709390452
5730471H19Rik	5.725695719	6.199594483	6.070925945	6.127265269	5.820515977	6.248722042	5.823690775	5.849706088
5730508B09Rik	9.097412398	8.555286369	8.978128307	8.080513415	7.938330493	7.945182001	8.04821493	8.422311728
5730522E02Rik	7.968829579	8.913702444	8.822715492	8.44284828	8.24667339	9.1393635	9.450959133	7.927544742
5730528L13Rik	7.229014884	7.779635975	6.990855426	6.329962532	6.228589765	7.170785353	6.394197712	6.065689487
5730590G19Rik	5.449088102	7.243743648	5.810246001	5.399851256	5.459175845	6.617195124	5.525880949	5.352190006
5830403L16Rik	5.453034625	5.79940856	5.521357549	5.448590448	5.586020089	5.592744053	5.532034814	5.503835912
5830405N20Rik	4.429892649	5.372634094	5.851918907	4.631032476	4.675875196	6.466024512	5.01051356	4.722048457
5830411N06Rik	5.747732903	5.8852994	5.964792909	6.034185629	5.937105414	6.027841875	6.312471865	5.743564515
5830416P10Rik	7.039491565	6.137709804	6.861840013	6.674129167	8.23247777	6.183087475	6.572920735	8.275379038
6030429G01Rik	6.226101302	6.437314864	6.860406662	6.651935221	6.315656794	6.751754255	6.674422516	6.354106891
6030498E09Rik	4.24978916	4.6644525	4.071116218	4.164070223	4.298233068	4.756117721	4.231125158	3.889886238
6230427J02Rik	6.593581353	7.011279072	6.781009053	6.663807604	7.316123109	7.488832835	6.441214543	6.939703557
6330403K07Rik	6.205284979	6.355251242	6.385251552	6.401907452	6.421718983	6.322137871	6.282610309	6.254915605
6330512M04Rik	6.360194524	6.502543303	6.574391694	6.444850351	6.612311211	6.537579773	6.973860925	6.4004481
6430527G18Rik	7.914291242	7.460250553	7.298013064	7.98777789	8.02198073	8.272762114	7.968456277	8.116355399
6430548M08Rik	9.43002177	9.27699015	9.086471974	9.453264254	10.12159587	9.981309496	9.17183168	10.30758854
6720401G13Rik	6.984882857	6.739608263	6.940997509	6.868558782	6.81828498	6.881508009	6.693209543	6.826884018
8430410A17Rik	6.287528934	6.969024975	6.74055164	6.082239895	6.660577133	7.346950095	6.454514808	6.8642493
8430419L09Rik	6.998561472	7.550095694	7.15408966	7.177643109	6.73752115	7.298070207	7.284220297	6.701279843
9030418K01Rik	8.629986994	7.162310422	6.699303148	7.900757545	7.587401748	6.934300255	7.246126818	7.664996453
9030619P08Rik	4.758221438	5.347313679	5.106987552	5.000028553	4.749563765	5.886452599	4.870598984	4.437091881
9030625A04Rik	7.970089972	6.649910961	8.777262001	8.691787131	8.754274728	7.09958767	7.739696577	8.953219601
9130014G24Rik	4.415413903	3.984431372	4.173958903	4.213235803	4.256912524	4.009630834	4.654381118	4.394088789
9330121J05Rik	6.190096603	6.878588847	6.689425904	6.459285702	6.665648586	7.022407394	7.0133478	6.28815883
9330175E14Rik	5.631121748	5.859038584	5.884402553	5.550487205	5.246955265	5.222300962	5.679954352	5.122537719
9430025C20Rik	5.630086041	3.734879393	4.398197573	5.127171015	5.52402135	3.526673982	3.895079607	5.307940664
9430070O13Rik	5.050420433	4.481230043	4.554566341	4.630549144	4.532921592	4.346649649	4.950137097	4.609297548
9530009G21Rik	6.187284762	4.629846179	6.228530764	5.902144345	6.371468256	4.961444292	5.80649549	6.572242432
9830107B12Rik	4.66593656	6.107940988	4.528804665	4.531196368	4.694462363	4.521050737	4.688848947	4.553789316
9930022D16Rik	5.379823093	5.453280513	5.73993179	5.503854353	5.363984029	5.455634086	5.76583837	5.344303721
A030009H04Rik	5.627355862	6.551526271	5.775575605	5.970329877	5.922068181	6.684346549	6.423046979	5.833230146
A130014H13Rik	5.498241292	5.739475502	6.27616722	5.780813135	5.713826388	5.506140671	5.650697075	5.64711185
A130050O07Rik	5.052398504	4.573299788	4.618395292	4.944825657	4.597647372	4.630834504	4.422973	4.603472054
A130082M07Rik	5.691294999	5.893714913	6.45516609	5.928425598	5.706943521	5.943299368	6.078637585	5.877898816
A230006K03Rik	3.358415017	3.379713369	3.663401552	3.493310017	3.574870498	3.568242938	3.941857519	3.368477826
A330049M08Rik	5.876847603	6.005992006	5.91205261	5.970232462	5.954394086	5.95612327	6.159102367	5.786711877
A430078G23Rik	9.412707724	9.429275125	8.435444273	8.735342438	9.115176336	9.43496051	8.907276164	9.006162737
A430084P05Rik	5.732052073	5.602137141	6.091728039	6.498403534	5.367786899	5.514374789	7.225614757	5.152189099
A430093F15Rik	6.317070065	6.320830027	6.361422146	6.149555425	6.140330811	6.133076435	6.29041058	6.060791028
A530021J07Rik	4.154896401	4.383614445	4.511693627	4.328566029	4.466408513	4.312522387	4.578389298	4.157908744
A530023O14Rik	8.221486266	6.392950467	6.300956512	7.454013537	7.876014986	5.912057402	6.355660307	7.907872616
A530040E14Rik	6.964957672	6.867350821	7.708019354	7.193427124	6.538867916	6.667555817	6.440449791	6.616683808
A530064D06Rik	7.153494272	7.758156576	6.415341786	6.694477222	6.383681831	6.277253299	6.461963129	6.605195618
A530099J19Rik	5.64617514	4.762463986	5.215939987	5.012716153	4.80944017	4.760620161	5.207086575	4.907996238
A630001G21Rik	8.899478175	8.041398877	8.392677765	8.469923546	9.613028051	8.141286828	7.713719869	9.594412731
A630033H20Rik	7.572824503	6.008952193	6.859558805	6.730586522	7.647185332	6.741675511	4.963518052	8.586414308
A630038E17Rik	4.554818027	5.065134255	5.198934124	5.079863053	5.009185908	4.779809514	5.136626164	4.720598056
A630091E08Rik	5.283430422	5.423146732	5.610273859	5.451997922	5.892318161	5.634554548	5.665823366	5.532013924
A930002I21Rik	3.636098678	3.775528199	3.83130302	3.774491903	3.764807912	3.83532788	3.951042205	3.71005149
A930038C07Rik	5.35158004	5.452398854	5.264760349	6.056075519	4.997400809	5.0906728	6.142599277	4.778853018
A930039A15Rik	8.653406051	7.006976419	6.783236183	7.381397593	7.605047571	6.764342616	7.061421419	7.266202412
AA386476	7.319700417	8.12062721	8.059555734	7.693328043	7.711095632	8.237224782	8.577484722	7.35428659
AA467197	4.87597824	6.3642158	5.540722693	5.061331226	5.192071831	5.099600994	5.350771262	4.976107888
Aasdhppt	7.592184918	7.796440067	7.636346929	7.609236617	7.431679366	7.350271514	7.384489354	7.613073076
AB010352	7.774720303	4.173138096	4.919182741	6.436151843	6.704981905	3.535634126	4.581426574	7.346815094
Abca1	6.967753469	6.042352501	7.537518429	6.571574681	7.499575655	7.3269139	6.354317272	7.710374731
Abca13	5.280778192	5.387830082	5.054165451	4.907534856	5.025518324	4.839360019	5.138644523	4.808946161
Abca5	5.169036402	5.371104609	5.450118097	5.343044142	5.49967371	5.445031405	5.848246101	5.303138515
Abca6	8.135983693	5.627219655	6.02814182	7.008778561	5.109059618	4.958154409	5.720541148	5.349362447
Abca9	9.997007251	8.112097668	8.469580635	9.540513416	8.048719812	7.646230594	8.977047184	8.462749524
Abcb10	6.949010363	7.799836572	6.920918111	7.183702201	6.740535676	7.478412355	7.302005964	6.79120301
Abcb1a	6.692072377	6.152642471	6.536157575	7.095744423	6.612055347	6.175137329	6.657346321	7.041785293
Abcb1b	7.359541668	7.323147858	6.626973477	7.581258339	6.17545474	6.912545284	7.311085726	6.766281625
Abcb4	5.491749432	5.624294918	5.521611955	5.805875401	5.615904725	5.902949063	5.823734077	5.648356719
Abcb9	6.254730083	6.365103424	6.211367241	6.193452423	6.34044655	6.438036076	6.408708465	6.285177289
Abcc3	6.763941333	7.08691996	6.234637991	6.515369741	6.051081663	6.41096177	6.475776387	5.942272863
Abcc5	8.634944002	7.72725521	7.957722335	7.939529067	9.191758672	7.808169858	7.097795651	9.148267853
Abcd2	10.42608234	8.59648423	9.068012399	8.804838747	9.118893069	8.009484531	6.760117133	9.516688298
Abcg2	5.81101198	6.064424466	5.785744955	5.676058618	5.305244615	5.897678493	5.307233602	5.4703579
Abcg3	7.666071291	5.697631129	8.156131292	8.636077283	9.214461197	7.08543705	7.960698198	9.264433123
Abhd12	8.538718696	8.997996495	9.392728275	9.198568801	10.27226866	10.16449458	9.010831578	10.28484101
Abhd15	8.445086324	8.648829235	7.847431364	8.677466781	7.690158301	8.215132209	8.323119855	7.896975705
Abhd8	6.21138736	6.908357792	6.581474781	6.683938755	6.893430776	7.061802834	6.541853202	6.43118166
Abi3	10.04151332	9.245299004	10.68780344	10.48728777	11.34225622	11.13059448	10.1138352	11.3240968
Abi3bp	4.670160514	5.040150149	4.85887784	4.853318705	4.907518031	4.734276069	4.829042764	4.653694067
Ablim1	5.258694791	5.720761837	7.215678273	6.01030841	5.685258995	6.067359781	6.643208274	5.610553022
Abtb2	7.475415138	6.978208217	6.797595819	6.693363359	6.702410979	6.798897283	6.428024273	6.813325099
Acaa1b	4.379392231	4.904503366	4.79150154	4.861308619	4.61531918	5.155062418	4.992997232	4.606721738
Ace	9.474955814	9.329988386	11.4583292	11.30276339	12.46225291	11.94579497	10.93902848	12.43390882
Ace2	3.763563839	4.002015359	3.835189743	3.895932693	3.917761122	3.864225772	4.22370828	3.789122002
Acer3	9.49489011	8.510253185	8.57137331	9.083133305	9.245551518	8.179437733	8.231179652	9.485703666
Ache	5.480204793	5.847067371	5.583063707	5.500584316	5.799899371	5.992627205	6.146102254	5.309320275
Acp2	8.434107485	8.155712134	9.850743437	8.966863113	8.729196539	8.523588092	8.534345881	9.08755253
Acp5	7.419356577	7.694275926	9.321761199	8.272625275	9.02959727	8.863971375	8.39508937	9.054243538
Acpl2	5.973346466	8.093721786	5.556193341	5.78844733	5.512730983	7.225477069	5.838581216	5.886310654
Acpp	5.514295878	6.031023858	5.707771403	5.478179075	5.881392987	5.347763675	5.476501583	5.774356954
Acsbg1	6.420288134	6.668798019	6.490976526	6.310220133	6.452994829	6.596697654	6.674186617	6.325926389
Acsl3	6.496443175	5.858230543	6.026825874	7.022353756	6.231736714	5.650780832	6.185086526	6.504365197
Acss2	6.789821395	7.41885418	6.956615836	7.197337609	6.845082903	7.543169508	7.139265855	7.14816335
Actn1	5.830950775	7.623023541	7.130052935	6.276844642	5.993496618	6.314856011	6.703675907	6.123085095
Actr3b	4.279377193	4.581218663	4.556227068	4.349344045	4.473387551	4.515954192	4.7778142	4.308625902
Acvr2a	8.671166206	6.415578408	7.86529983	8.308843961	7.716827348	6.513578648	7.055115919	7.915823701
Acy1	5.722520671	7.374597864	5.665154917	5.650599911	6.133119602	7.229179961	5.950993232	5.555006866
Ada	5.914507121	7.018502877	6.663575182	6.554975053	5.999372066	7.27147579	6.342044436	6.033982791
Adam11	5.844944651	6.394853077	6.042852964	6.132880457	6.080085204	6.654748672	6.692268865	5.972767084
Adam12	5.459228315	5.680683486	5.43048712	5.563275095	5.518985124	5.691349908	5.650352425	5.407118855
Adam15	9.516972803	9.640428847	8.444920181	9.249632982	8.56664565	8.952369486	9.064469826	8.21109233
Adam22	4.217977725	4.527666746	4.548831154	4.388370953	4.575378896	4.307688381	4.605959472	4.420522824
Adam23	4.909894683	5.289635306	5.460586405	4.972750851	4.88905732	5.152597181	5.648521528	4.894466624
Adam6b	3.671063097	3.776791824	3.855428319	3.850456074	3.846814213	3.81513135	4.198313413	3.739213004
Adam8	8.019482685	8.278243455	7.468394877	7.910899919	6.446595356	6.52758022	7.82407663	6.213159836
Adamdec1	4.717937752	5.116238593	5.778412734	4.979212908	6.305651386	5.423235272	5.404259405	6.38302477
Adamts1	5.16182992	5.447417198	5.436314	5.401399509	5.460169172	5.390290501	5.446735945	5.05320085
Adamts10	8.490345494	8.341786989	7.692722428	8.021216712	8.364810746	8.300009751	7.586481415	8.192762292
Adamts14	5.731026615	6.139386269	5.905671003	5.788100128	5.924246001	6.041572277	6.078363259	5.634329563
Adamts17	8.088148489	7.906482576	7.912959973	8.045821172	7.981960509	8.183537462	8.389906194	7.903177615
Adamts3	5.224109752	5.612557938	5.048233279	5.03786831	5.079113529	5.359474317	5.083000566	4.941556144
Adamts6	6.588293882	4.754711162	5.626187957	5.700300991	6.327041491	5.057573019	5.073280407	6.377335486
Adamtsl2	6.202738981	6.344314256	6.306037986	6.141901405	6.382577341	6.454782922	6.290735868	6.272932054
Adamtsl3	4.411729036	4.764880435	4.674837246	4.825437969	4.817871359	4.802696435	5.251200235	4.538783972
Adap1	9.627971065	9.878036092	10.33851467	9.799094863	9.827229396	10.01116295	9.7600782	9.779288944
Adap2	8.316581883	6.671061209	8.922369233	9.024555351	6.850964402	6.644082195	7.561996611	7.328835746
Adcy6	5.922479349	6.27349724	6.286635997	6.233381285	6.301989965	6.229865387	6.465923871	5.926551713
Adh1	5.06252039	5.437557342	5.529921911	5.486237042	5.520021444	5.433585998	5.727347346	5.216398212
Adk	6.542672842	7.398916662	6.133412141	5.893246512	5.754780632	6.703704281	5.344242638	5.849864188
Adm	5.277067278	5.60400508	5.761015718	5.555078876	5.820490449	5.692730332	5.265028005	5.396975296
Adora2a	6.472357793	7.585843878	8.438766214	7.481750736	7.21882136	8.259640491	7.235013768	7.490768584
Adora3	7.453174863	7.320441053	6.365662796	6.890738105	6.324688214	6.544119555	7.102907936	6.063688876
Adpgk	8.46327314	9.288267729	7.722170214	8.083909191	7.585899572	8.064368235	8.350274019	7.654490248
Adrb2	9.978063365	9.174358976	9.424267645	9.632943775	11.39014286	10.69902642	9.087416298	11.27067636
Adrbk2	8.72557769	8.284298505	10.17436718	10.0736437	11.01446863	9.766778225	9.51175384	11.08355256
Adssl1	9.175852321	10.06856132	9.196389999	9.190637575	9.409218333	10.11669571	8.604801718	9.714736328
AF251705	9.010908485	9.045489933	9.789862249	9.683063675	10.72225429	10.6760232	9.543331545	10.93935715
Afap1l1	5.801339758	6.635383901	6.019720445	5.865544404	6.019571826	6.700541906	6.291249913	5.738030091
Aff3	5.870843894	6.499133663	7.205904654	5.967967065	6.005574026	7.580028874	6.610156705	5.821482672
Agfg1	10.72353413	9.617399201	9.894697887	10.18793101	10.42514277	9.390220055	9.427596431	10.48413664
Agfg2	7.313186887	8.540376315	7.430563503	7.311604227	7.310463279	8.348754854	7.615495384	7.42315172
Agpat4	7.055922286	7.328776638	7.615226963	7.478788222	8.791073002	9.160418801	7.667921212	9.275349284
Agpat9	5.847992732	6.30670396	5.772045752	5.58748401	5.712258727	5.948917726	5.711395787	5.32966612
Ahcy	7.882807279	10.36718007	7.95937373	8.026127051	7.63538765	10.16117707	7.847226512	7.877899797
Ahnak	10.97387364	9.277272752	9.217087134	10.5515785	9.537005767	7.911763076	10.1394599	9.607962113
Ahnak2	5.605645446	6.212787853	5.920613281	5.734814376	6.136575925	5.836643727	5.921126849	5.945745337
Ahr	10.58644804	7.541140767	8.683322166	10.2977345	8.102588588	6.973972822	9.055241486	8.161746126
Ahrr	4.733607423	4.969936344	4.810974291	4.703344378	4.719093064	4.946903936	4.630192849	4.762131917
AI324046	5.688018993	5.654777308	6.873734468	5.627135979	5.914796503	5.683680549	5.986852323	5.620306055
AI452195	4.225148941	4.77623386	5.013398238	4.575181207	4.432969426	4.564585472	5.001890044	4.259894633
AI504432	8.684939798	6.101451182	7.888151034	8.657188735	7.708699387	5.751512817	7.019483982	8.348926578
AI607873	11.79449309	8.479505304	10.13178002	11.30805297	10.06044425	7.539707344	9.778421659	10.35222861
Aicda	4.791525851	5.041479556	5.657789564	4.946432997	5.110722369	5.578025925	5.406215212	4.949859853
Aif1	6.806307729	7.104169244	9.26571466	8.528727972	5.921281598	6.305177112	8.247013438	6.442011247
Aim1	9.583625886	8.197189986	8.983537286	9.560644907	8.857708443	8.16885494	8.765475075	9.175161387
Airn	6.041055302	5.81226118	5.85455509	5.866077951	6.164115489	5.570948605	5.673761338	6.004459594
AK129341	3.904429504	4.062254137	4.165727069	4.181513403	4.350801313	4.013164459	4.273721015	3.894474385
Ak3	8.690325946	8.483027587	8.169773544	8.430825931	8.488343081	8.572916188	8.324860546	8.537596054
Ak4	4.695969694	5.16604053	5.040642611	5.050117102	5.065697241	5.386530472	5.76493394	4.787010293
Akap12	5.562942483	5.339369024	5.89617334	5.682690334	6.464936134	6.034637584	5.715349787	6.326222731
Akap6	4.666203642	4.911527013	4.650178632	4.625878304	4.896032026	4.826839963	5.138103839	4.659199605
Akna	10.35054399	9.980945595	10.03673588	10.22187696	10.87770975	10.35097527	10.39273573	10.68438666
Akr1c12	4.167320457	4.222969384	4.146657937	4.226970858	3.926189234	4.270658505	4.063002399	3.972723897
Akr1c13	5.694164238	6.320482873	5.407810461	5.183722048	5.186381702	5.639734781	4.86968637	5.368115288
Akr1c14	3.811388823	4.148001283	3.841040532	3.918332164	4.071818434	3.94827689	3.835636113	3.737189195
Akr1c18	4.095049538	4.613885211	4.220126127	4.154442791	4.112812709	4.0624729	4.5927022	3.969594427
Alad	7.092850499	8.346751873	7.256898375	7.34307613	7.468985639	8.388078868	7.675258797	7.212285091
Alas1	8.694934502	10.43008186	8.742577681	8.316475839	7.547429007	10.07209267	7.853453974	7.978003494
Alas2	5.977161602	6.038276673	6.151523994	9.577115958	5.843460069	6.102799483	9.409782108	9.492098053
