	MO.6C+II-.BL	MO.6C+II-.BM	MO.6C+II-.LN	MO.6C+II+.BL	MO.6C-II-.BL	MO.6C-II-.BM	MO.6C-II+.BL	MO.6C-IIINT.BL
Mfhas1	7.077316713	6.900372545	7.313866193	7.30946544	6.567584995	6.73274857	7.448168766	6.445703532
Mfsd2a	5.790830238	5.863652724	6.061173509	5.907379426	5.825451113	5.971302893	6.326698226	5.780695921
Mfsd2b	6.03053178	6.115673494	5.968900216	6.445887788	6.413319896	5.997586728	6.332314092	6.590177424
Mfsd7a	9.707672027	8.767810146	8.354845	8.366608393	6.993010257	7.173719771	7.469321499	6.805977779
Mfsd7b	10.39822576	8.611053331	9.224404591	10.11918202	8.966393406	7.848465414	8.804872834	9.379193708
Mfsd7c	4.960230582	5.301492537	5.09851641	5.08590757	5.274084575	5.173381989	5.301748587	5.062500819
Mgam	4.837098901	6.231013123	4.981003222	4.751613682	5.235918488	5.119343726	4.850956903	4.927968492
Mgl2	4.905538638	6.884259267	5.341883778	6.457216147	4.263530247	6.356765345	9.179808968	4.274218417
Mgll	5.272945114	6.184089166	5.541929846	5.501047367	5.38125222	5.495585379	5.957900673	5.30711445
Mgp	5.160615024	5.540154392	5.680049558	5.487410242	5.350778333	5.565123917	5.356163182	5.158839491
Mgst1	9.893928636	10.18996829	8.941547889	8.205408642	8.192940525	8.560742336	5.608933404	8.623375782
Mgst2	5.752469408	8.30676729	6.679538275	5.63564219	5.847725123	6.540537245	5.88312346	5.692457328
Mical2	5.999760282	6.464158529	6.305096835	6.247203453	6.181671086	6.461984132	6.47498271	6.098993419
Mical3	6.291873031	6.675403365	6.92875128	6.339819724	6.23412573	6.765361029	6.499197724	6.171713636
Mier1	8.743956183	6.88256806	7.874798195	8.262114113	8.960641443	6.728948122	7.376583418	9.141438105
Mif	8.088427498	10.50719571	9.207368726	8.622680512	8.236114914	10.63241449	9.139857125	8.333916624
Mir124a-3	5.106942898	5.576970517	5.414889841	5.28778132	5.392772487	5.422052428	5.712308258	5.160605613
Mir126	2.906602028	3.680489399	3.125000795	3.134467393	3.060488428	3.475270829	3.674115982	3.063568518
Mir138-2	6.13106742	6.52742696	6.34690549	6.50993701	6.637428391	6.641901939	7.160453342	6.166534293
Mir144	2.588772592	2.895237983	2.909171456	3.000348609	2.72628629	2.97545288	3.412510571	2.733983349
Mir146	2.947366928	3.445951776	3.447045746	3.273486051	3.904749009	3.185718569	3.99292701	5.622642837
Mir151	4.653287451	5.325567508	5.441199047	5.303357008	4.97997273	5.115453635	5.508382696	4.783278533
Mir155	5.555828423	5.234814239	5.74146429	5.811884564	6.030882283	5.225165654	5.96507084	5.825478335
Mir15b	5.443521563	4.204714591	4.544357613	4.659576398	5.231580249	3.594568455	4.791097754	5.692471277
Mir16-2	5.119422583	4.233992844	4.615353515	4.677951676	5.596981344	4.086885648	4.808521488	5.393679783
Mir17hg	6.003693676	5.800725645	5.884839652	6.290417031	5.839194968	5.664117759	5.698403249	6.379084079
Mir18	6.088317597	5.049726596	5.099421456	5.324395397	6.272882613	5.470288477	4.581622405	6.134087838
Mir181a-1	3.664164229	3.567196575	3.704613791	3.678188368	3.738443599	3.541155484	4.072170128	3.535567775
Mir181b-1	4.611473402	4.007482576	3.790775512	4.493918411	4.387317732	4.064540872	4.2834403	3.912433349
Mir187	7.789537557	8.349374714	8.494875447	8.26726455	8.628052323	8.476304587	9.003378625	7.936001953
Mir19a	5.140968113	3.8084537	4.030371395	4.329616373	4.681584195	4.201957908	3.513673913	5.168093219
Mir19b-1	6.645772738	4.226778239	5.514144358	5.808602142	6.57281541	4.62586467	4.839798384	6.766194151
Mir20a	5.735008514	4.210716146	4.647734707	5.087690543	5.740852025	4.408116275	4.503227869	5.69310888
Mir22	7.849905461	6.332586809	7.111740101	7.23147177	7.170707752	6.27908556	6.246569602	7.361720818
Mir23a	10.30669109	6.574183271	8.537189404	9.135509304	9.536853312	6.774444022	8.250416387	9.413744821
Mir23b	7.420239844	6.800369736	6.80617581	7.513856268	7.34662808	6.845692014	6.961036362	7.167872711
Mir27a	10.77178472	7.363803023	8.767583959	9.473139991	9.897683862	7.606026614	8.632627572	9.922734447
Mir27b	6.812167462	5.784479554	4.910387295	6.576683873	5.701342507	6.035060064	6.22603449	5.770732863
Mir299	3.545000484	4.263677965	4.202362865	3.815117683	3.845324445	4.083758	4.902814037	3.654378254
Mir29b-2	3.66214852	3.608935375	3.696416764	4.026277762	4.90346735	3.4150375	3.965354875	5.198657587
Mir29c	4.846655445	4.155036775	4.827368535	5.16436527	6.244858525	4.636454484	5.116867915	6.369039964
Mir335	4.938563388	5.322697327	5.436382856	5.321206567	5.440915665	5.439439188	5.769416046	5.045536456
Mir341	8.333288206	8.95029946	8.478747916	8.22694277	8.421156592	8.735880911	8.970301785	8.288768092
Mir342	7.815330134	6.614029556	6.752449336	7.458165699	8.936782496	6.672374422	6.882309846	8.547109459
Mir351	6.17157781	6.3788971	6.264290581	6.347962054	6.765951715	6.446203286	6.503741479	6.241431413
Mir467b	2.874416655	2.555006252	2.631608769	2.692717315	2.690182401	2.514290617	2.804291097	2.713643032
Mir483	7.277486411	7.924901754	7.88018736	7.529238963	7.863994185	7.933723698	7.606692798	7.434664253
Mir503	5.932228928	5.610185256	6.108906337	5.892165132	6.630211783	5.747757068	6.118675343	6.413247786
Mir504	6.410653166	6.566987618	6.517383839	6.460685781	6.727355515	6.547903222	6.663193738	6.603467306
Mir547	3.197330728	3.376711756	3.444384366	3.353003284	3.275744601	3.317318542	4.210143355	3.155393048
Mir592	3.991961673	4.213699811	4.239772263	4.151734367	4.211179667	4.395204502	4.67000751	3.985263605
Mir692-1	10.07856607	9.980817723	10.56432897	10.1130882	10.2492672	9.473528056	10.00885387	9.949114494
Mir99a	4.079343974	4.346644922	4.111217759	4.126331406	4.274440589	4.463323826	4.928512453	3.810506857
Mirlet7a-1	6.205116168	5.399871759	5.984721493	6.014513749	6.422883883	5.720815636	5.76431165	6.169393511
Mirlet7f-2	3.581837286	3.867527509	3.914121187	3.922876529	3.746984506	3.640474399	4.523612136	3.517668758
Mitd1	7.83077103	7.124950838	7.419376804	7.528317877	7.127425382	6.769665084	7.119660165	7.440578357
Mki67	6.901770373	8.464192572	6.762849738	6.293614494	6.053726089	6.993336969	6.137284234	6.001779728
Mki67ip	8.36809986	8.932454935	8.009172655	8.076353683	7.175020528	8.710728157	7.536127909	7.739060804
Mlkl	8.208179235	8.928793219	7.192801409	7.552974638	6.703658606	7.62094484	6.46136239	6.939499526
Mllt3	7.182308269	6.365182181	7.015034	6.768665143	6.802974465	6.264020912	6.662879113	6.841251843
Mmd	7.035958887	7.74524697	7.612458662	7.323278787	6.983805931	7.858207124	7.527289326	7.792443355
Mmp12	5.164106436	5.167894449	5.484040358	5.222980972	5.366441122	5.274788441	5.67245363	5.126478166
Mmp13	5.208582287	5.518097606	5.441941553	5.321002068	5.429472022	5.350950964	5.61803892	5.283289899
Mmp14	5.994738104	6.444727796	9.19574605	6.873015445	6.223915785	6.338397672	6.691652803	6.02513779
Mmp19	8.230788707	6.736049643	6.309758271	6.826121759	5.372091934	5.661695452	5.939355888	5.317628233
Mmp2	6.354372816	6.758468862	6.654491871	6.466846237	6.647238947	6.809534921	7.069882041	6.425635535
Mmp25	5.986482234	7.998537967	6.891483591	6.218841214	6.034469952	6.348915781	6.273169907	6.027770233
Mmp27	4.970589872	4.944035375	4.893567694	4.92695141	4.746272452	4.983705053	4.919862047	4.684318307
Mmp8	10.51653834	9.927813856	7.137931419	7.190361682	4.395498148	5.275995332	5.103841697	4.642066138
Mmp9	5.745717792	10.67537705	6.598651544	5.858891927	5.899162335	6.398875915	6.395673793	5.629749446
Mmrn1	3.99844526	4.134437273	4.119132036	5.347685733	4.05649249	4.124093733	5.074015121	5.169052709
Mn1	5.406560479	5.711125926	5.881403592	5.707697792	5.793812668	6.015307996	6.21672646	5.547784182
Mnd1	3.968966244	4.991220994	4.112119046	4.074082933	4.19595778	4.923840088	4.532435413	3.780173593
Mns1	5.22857758	5.802853224	5.557923657	5.253856938	5.512781541	5.652033251	5.564699782	5.197647619
Mobkl1b	7.93559136	7.129706832	11.00762541	10.04630506	10.24606825	7.156427967	9.244632487	10.43597266
Mogat1	4.540835293	5.038323503	4.59341951	4.562197642	4.818326528	4.527137079	4.798444583	4.607806103
Mospd1	8.922951533	8.403286898	7.978816072	8.222731801	7.992616915	7.911759881	7.727497452	8.646890591
Mospd2	9.059735346	7.050709554	8.297566993	8.629318488	8.778778917	6.968536244	6.813349601	9.209561905
Mpa2l	7.177948014	5.860592892	7.909522514	7.761049415	6.914270908	6.159136014	7.347870248	7.131246219
Mpdz	4.97586707	5.074448349	5.120056049	5.295218532	5.292998873	5.271067049	5.378785571	4.983762503
Mpeg1	12.80668263	11.96548979	12.04918621	12.32246484	11.66174575	11.37337055	11.4543404	11.84143374
Mphosph10	8.217584883	6.686653659	7.148993402	7.864762901	7.011756706	5.791749834	6.472320422	7.63643597
Mpl	6.242239182	6.423859377	6.414738785	6.676398592	6.447446128	6.565638299	6.732773213	6.598433991
Mpo	5.8656475	12.46444539	5.770247623	5.764295724	5.817439072	12.44039567	5.948403445	5.70880414
Mpp4	5.049836935	5.388527091	5.3680233	5.447409484	5.381933962	5.427497788	5.759928119	5.139373716
Mpzl1	5.647042947	6.39993839	6.158188893	5.949765248	5.871269511	6.33270853	6.161838316	5.710451604
Mpzl2	5.030527365	5.01743796	5.008392764	5.170278953	5.193265134	5.034943454	5.044160209	4.979226934
Mr1	6.412098962	5.911209005	5.985897329	6.334538481	6.084054695	6.423239755	5.868976845	6.237622606
Mras	5.275136209	5.735541131	5.650108727	5.883506778	5.505986175	5.703384987	5.908942572	5.514874665
Mrc1	6.631839609	5.665453413	5.552835065	8.2455779	4.656216042	5.247636414	7.679669749	4.360514579
Mreg	5.513850743	6.091356395	6.584724537	5.69390414	5.804800896	6.324256768	6.299507518	5.616171231
Mrgpra2a	5.220169991	7.405586261	5.6501116	5.411575389	5.692887452	5.913416831	5.253558208	5.344849086
Mrgpra2b	5.158159265	7.284118636	5.674593412	5.374099346	5.654747717	5.882208545	5.213671949	5.31664104
Mrpl20	7.986574576	8.616166525	7.799058589	8.157879447	7.65988461	8.551497048	8.318226218	7.991316169
Mrpl35	7.008977955	8.017050945	7.117900712	7.123438585	6.861323923	7.596110225	7.152034314	6.976079239
Mrpl42	5.541384738	5.699579393	7.867876083	6.677550525	5.51260142	5.373670249	7.210792111	7.276925018
Mrps18b	8.511816025	9.366455912	8.415860897	8.589965928	8.070025388	9.311923789	8.658344319	8.455234079
Mrto4	7.427337151	8.382179875	7.703230851	7.562070665	7.291494895	7.93615696	7.893362514	7.298557514
Ms4a1	4.015916772	4.111696291	6.652601218	4.320710909	4.294337696	4.090280415	5.134489982	4.264707563
Ms4a14	3.562348269	3.795517613	4.107068482	3.928701939	3.76332127	3.766432616	3.786157214	3.524785846
Ms4a2	4.10298	4.626034113	4.286632301	4.249609677	4.204066357	4.392651723	4.697084328	4.15100314
Ms4a3	5.152482259	9.692630088	5.237271795	5.261338995	5.273836619	8.594212618	5.883784527	5.054224216
Ms4a4a	12.50592483	11.23877265	12.31509707	11.803718	11.71829687	11.41187229	10.31952728	12.08223233
Ms4a4b	7.248987315	6.12563595	6.985008519	6.449303845	5.38130241	5.073885913	5.206391215	5.754549765
Ms4a4c	11.95899205	10.67772055	11.36565385	11.31281443	9.09581566	8.94619318	10.3257586	9.948411534
Ms4a6b	11.24713763	10.26431064	11.02913819	11.00455851	9.763388086	9.348681686	10.10516891	10.09743735
Ms4a6c	12.50427267	11.38108271	11.70701088	12.06311808	11.5412729	10.84578873	11.06424333	11.74346184
Ms4a6d	11.16958046	8.838542034	10.74432328	10.99658854	8.296909326	7.160360559	9.25343494	8.86831439
Ms4a7	4.767956652	4.680283094	7.140495105	6.10642789	4.475652378	4.358494726	5.776767265	4.613711979
Ms4a8a	9.887201979	9.745032853	8.263845537	8.742182875	6.622060607	7.036665603	8.139830911	6.477171195
Msr1	10.11210171	6.472815915	8.489700406	9.00868511	6.117088252	4.435728593	5.713864871	6.857338106
Msrb3	5.966814194	6.294128127	6.267136867	6.276460685	6.325285664	6.272900338	6.641528689	6.113817163
Mst1r	6.248041406	6.256433903	6.043641973	5.995638278	6.239853395	5.991492368	5.85371626	6.137129686
Mt1	7.379554253	8.750308704	8.163409332	7.388917361	7.1247205	7.862055823	7.557117873	6.883095838
Mt2	5.25166103	5.4705976	5.774042024	5.466717381	5.429569101	5.671268837	5.583007527	5.361435013
Mtap2	4.972439931	5.253806523	5.235559859	4.886842754	5.101828637	5.239180338	4.901834719	5.060623309
Mtf2	7.913846625	7.220954485	7.540147933	7.660719496	7.928493504	7.062490889	6.475171643	8.24774802
Mthfd1	6.985993312	8.633113539	7.070227946	6.888401913	6.58566339	8.534420135	6.791678649	6.568175941
Mthfd2	7.298138959	8.568600044	8.499737614	7.802415766	7.839848762	8.392740294	7.799004714	8.357743061
Mtmr4	8.46525661	9.008368672	8.555292889	8.855902619	8.026540041	8.817748379	9.118969485	8.111422198
Mtmr7	5.180753897	5.090603646	5.149409774	5.564785635	5.333441624	5.258957295	5.584789668	5.2618655
Mtrr	6.397154927	6.554003981	6.510059425	6.234704406	5.928899688	6.453165807	5.923592525	6.300363177
Mtss1	7.448892419	7.510361462	7.330634286	7.486627768	8.179753868	8.058056142	7.613210797	8.167195728
Mtss1l	6.043636141	6.395011372	6.349681965	6.103550792	6.338723014	6.476106754	6.44743125	6.044050017
Mtus1	9.532227788	8.628685392	7.023659742	7.738753428	7.619956193	7.63284765	7.182070518	7.51739712
Muc1	5.285678401	5.190866349	5.276109513	5.295453657	5.060559761	5.125173044	5.254544914	4.995537884
Muc13	5.024993347	5.67871609	5.146292711	5.176685795	5.234623941	6.252363933	5.397089308	5.148923532
Mucl1	3.614623477	3.587032884	3.795465662	3.565544374	3.550599046	3.581118212	4.248952222	3.449381769
Mx1	8.934971597	8.079497228	8.10384292	8.362290154	6.637644296	6.998604344	7.40173157	7.257604702
Mx2	7.938591027	5.969221112	6.932776561	7.252321037	5.598856462	5.077856812	6.344561339	5.783798691
Myadm	10.66161155	9.964302261	9.90796175	10.08183345	9.962299072	9.514496828	9.981063535	9.871187499
Myb	5.8471459	8.474416438	6.284926174	5.951021217	5.94673086	8.618309756	5.973566506	5.723204124
Mybbp1a	8.612214868	9.72852406	8.479801817	8.679326438	8.077871317	9.850606768	8.461251054	8.362042435
Mybl1	3.671648151	3.990867146	4.241690213	3.739128015	3.86669042	3.78237711	4.06594276	3.802077383
Mybl2	6.580624896	8.828704562	7.05660448	6.601986155	6.829770296	8.224353218	7.140508227	6.766615832
Myc	6.279564773	8.267894367	7.434382754	7.151541582	4.984270336	8.389058951	7.599980513	5.227193493
Mycl1	5.76781809	6.202040215	6.386701752	6.311231834	6.151669093	6.591580689	6.766760781	5.772010726
Mycn	5.866563497	6.372815156	6.260156793	6.064857709	6.074436931	6.538184792	6.725495098	5.727654756
Myct1	4.559948574	5.048137351	4.591025094	4.812174738	4.922088405	5.041153892	5.309154355	4.641882388
Myd88	10.63713262	10.14994311	9.645056554	10.31968687	9.661432166	9.967878326	9.994885156	9.880082838
Myh10	5.848181406	5.966424314	6.1911224	6.079576516	6.168727268	6.017497349	6.421193839	5.965402901
Myl10	5.384211019	5.657622857	5.509200715	5.656067274	5.696224782	5.811728754	5.799051031	5.413877692
Myl4	5.363720104	5.78109126	5.690597747	5.339113625	5.757550022	5.791162889	5.732910888	5.455184506
Myo10	5.592503881	5.862952206	6.060204503	5.86879869	5.921349445	6.055197101	5.743307607	5.593886167
Myo1b	4.784907002	5.292975568	5.087165785	5.251558784	4.892910691	5.023972381	5.226171322	4.731900066
