	B.FO.LN	B.FO.MLN	B.FO.PC	B.FO.SP	B.FRE.BM	B.FRE.FL	B.FRF.BM	B.GC.SP	B.MZ.SP	B.T1.SP	B.T2.SP	B.T3.SP	B1A.PC	B1A.SP	B1B.PC	MLP.BM	MLP.FL	PREB.FRC.BM	PREB.FRD.BM	PREB.FRD.FL	PROB.CLP.BM	PROB.CLP.FL	PROB.FRA.BM	PROB.FRA.FL	PROB.FRBC.BM	PROB.FRBC.FL
Cbx5	7.534350355	7.682968608	7.238630521	7.774392845	7.862000634	8.878734843	7.57570815	10.06918994	7.779625252	7.419561925	7.708506159	7.664453685	8.028781114	8.167121464	7.929619407	9.602126962	10.21500509	10.41680748	8.742874051	9.536987642	9.460327628	10.40477514	9.271452406	10.63375617	9.333899023	10.41987906
Cbx7	10.0611467	10.04675183	9.901958125	9.988494444	9.153695154	8.693314335	10.13566102	8.588963182	8.916767821	9.37013216	9.57458085	9.763331397	9.526663029	9.387673833	9.519331695	7.566245306	7.240828532	7.632773507	8.842743076	8.384697423	7.504318475	7.057835445	7.528780512	7.030836682	7.982947195	7.262327601
Cc2d2b	5.987316318	6.23343817	6.020408857	6.612730916	6.721240945	6.014138783	6.694314701	4.563434763	4.78813929	7.257448189	6.865394283	6.937514674	4.977992698	5.303086017	5.127718563	4.543969074	4.429718611	4.654145261	5.676930259	4.576848612	4.567784741	4.327694549	4.783416055	4.40395845	4.715382737	4.476284468
Ccbl2	6.414842497	6.428849782	6.133599143	6.483241272	5.847570213	6.276847743	6.182730033	6.245091858	6.884333353	5.87975232	6.182919356	6.285298637	6.132257397	6.216632055	6.263836932	7.637906527	8.444922803	6.705652199	6.082161818	6.309711592	6.568877281	7.885331536	6.27541638	7.753127142	6.375603652	7.853722913
Ccbp2	6.35260141	6.247387667	6.313522197	6.308767376	6.446884239	6.477494929	6.463099267	7.372793685	9.421439463	6.897383236	6.851453811	6.24071375	8.246418856	7.87245265	8.091284277	5.898437535	5.929899858	6.011786331	6.176584078	5.827280453	6.064083096	5.822566157	6.248004392	6.081200419	5.818315449	6.236183254
Ccdc109b	5.008484648	5.282450925	5.220799425	4.942010843	4.99720809	4.811310037	5.175660321	5.143326747	5.029782674	5.181881746	4.866128244	4.992291078	5.03216404	4.979971206	5.306206332	4.876397843	4.898577607	4.831944781	5.050626488	4.80492778	5.291812266	4.969273308	5.140715271	4.956135664	5.075382877	5.004511879
Ccdc122	3.935384311	4.247757924	4.534833557	4.258343037	4.039805179	3.856345014	4.360289353	5.597760581	4.549484356	4.026962316	4.006381812	3.956394357	4.185916748	3.886468858	4.794648065	5.754912883	5.019050984	3.919435433	3.735449968	3.763029071	5.205972404	5.147514295	4.954366166	4.806145299	4.131112019	3.895700083
Ccdc135	5.939820133	5.669503048	5.914489581	5.643348272	5.793908884	6.031726011	5.837558135	5.699030553	5.727875086	5.780600569	5.530116534	5.489040842	5.742469783	5.673868258	5.536739882	7.647448533	6.717509184	7.379725207	6.551415528	7.933838556	9.292629697	8.099306077	9.42891521	8.623592678	8.600545308	8.415301077
Ccdc18	3.631779478	3.724377422	3.712936881	3.785247125	4.239935158	4.901042255	3.858359031	6.100951725	3.612289584	3.863162067	3.618383544	3.919702379	3.622102593	3.58029626	3.537246361	4.927921336	4.933616699	6.974785493	5.189342262	6.058741477	5.424020682	6.254904523	5.387607243	6.721035828	5.606135218	5.531649699
Ccdc34	6.038951902	6.243477409	5.863950836	6.020552575	6.216531822	6.705558206	5.983395724	7.783381566	5.991171853	5.965444923	6.060151171	6.097036947	5.933177606	5.946528522	5.858160906	7.551208759	8.045267669	8.718670775	7.079192127	7.741948478	7.696061067	8.400870473	7.616749153	8.45371922	7.698520629	8.20560218
Ccdc64	6.239851486	6.123708266	6.272497289	6.184888563	6.162337615	6.121852584	6.188806408	6.378761299	6.03863225	5.989163234	5.942334646	6.051068245	6.103551492	6.057238329	5.959945537	6.028084526	6.17453492	6.091725924	5.866713496	5.854870876	6.173038795	6.044550039	6.359747804	5.869489795	6.065687189	5.954506534
Ccdc79	4.603943777	4.899528525	4.200127654	5.130917146	4.203229874	3.88357846	4.284652316	3.775844209	6.828811383	4.591721299	4.84073513	4.581284956	3.841966411	4.135144922	3.830312799	3.747798235	3.687657954	3.765594858	4.013846332	3.630855855	3.701205253	3.691783525	3.911715547	3.661426584	3.726010115	3.698633369
Ccdc80	4.094371211	3.929282872	4.045981668	3.941206495	4.050722249	3.996436956	4.129961611	3.946961623	3.993662287	4.056152852	4.087058264	3.970301497	3.911624478	4.037117147	3.979284563	4.031258437	4.225621986	4.042979876	3.985467034	3.967694302	4.012503122	4.115871131	4.143242382	3.997488127	4.113372678	3.830512249
Ccdc88a	5.920974465	5.720991609	5.803772939	6.226283733	6.883604526	7.379903072	5.884645945	6.457632046	4.99329243	6.458513795	6.494175568	6.326413307	5.030012304	5.388572437	5.661046472	7.579894974	6.409059927	7.567391305	6.998572378	7.88527845	7.492067615	7.018598569	7.244401656	6.905506147	7.485339071	7.07331183
Ccdc92	7.228001894	7.152069479	7.297487667	7.074181433	6.983905663	6.780685861	7.175825963	7.671131287	7.060229366	6.724697105	6.884691526	6.904875828	7.255520561	6.976931611	6.925427447	6.818355291	6.685261332	6.759487434	6.967411111	6.721037195	6.732494885	6.710547942	7.150638623	6.701326333	6.887624371	6.839670331
Ccl12	4.380341575	4.474524735	4.479017091	4.181015064	4.484105899	4.338609821	4.563568992	4.251570145	4.426090279	4.483542795	4.302981871	4.366627625	4.354976314	4.352022821	4.266719088	4.238658861	4.252266783	4.257961035	4.419163562	4.184140091	4.291168857	4.132343778	4.252748681	4.0914911	4.434314637	4.28980742
Ccl17	5.690161444	5.726514276	5.840636951	5.492920296	5.529870909	5.453402343	5.647741421	5.439971027	5.518486881	5.607312557	5.594259902	5.421245745	5.538730593	5.926780667	5.47056181	5.182630727	5.199527087	5.328639028	5.318769947	5.350150676	5.457641348	5.168946843	5.565886539	5.073497504	5.349545745	5.355157256
Ccl2	5.539234822	5.508669504	5.852180328	5.40522998	5.666745232	5.339529368	5.506573381	5.254839661	5.394096794	5.520027208	5.541216415	5.469799169	5.382765227	5.385206102	5.258485005	5.222009477	4.914223262	5.165125409	5.280685412	5.242067652	5.293318979	5.069673528	5.532932498	5.104378598	5.233263033	5.136735522
Ccl22	5.497178023	5.299580476	5.503196061	5.147397611	5.520578349	5.111710199	5.293022178	5.212032314	5.477762583	5.301725423	5.379032888	5.315292088	5.387778396	5.563157622	5.256647132	5.052872316	4.897747055	4.929316017	5.340994206	5.289106542	5.142925289	4.953809989	5.456893194	4.916943136	5.224754188	5.133179896
Ccl24	5.252527306	5.149531715	5.382919668	5.200033464	5.291754568	5.367608699	5.79655709	5.25220622	5.474744278	5.341331122	5.258968597	5.209727581	5.222291944	5.29694373	5.318672349	5.216748768	5.06816489	5.178531405	5.667820235	5.169109916	5.3105013	5.188615878	5.627646232	5.250931264	5.044630177	5.453553794
Ccl3	5.485148244	5.539091587	5.336211966	5.401210621	5.543461857	5.394706196	5.389597785	5.312323916	5.246705767	5.33415706	5.216683785	5.065537846	5.322346416	5.570569692	5.206722659	8.908876691	7.463329821	5.062436922	5.26866145	6.066830445	8.015757541	7.733538959	7.772029141	7.502861765	5.664056113	6.057846634
Ccl4	5.93600537	5.587249963	5.88286555	5.553269359	5.771665531	5.411221714	5.5135697	5.530109248	5.618184808	5.538958164	5.56791147	5.387580822	5.724680282	5.496577392	5.677102269	6.150954617	5.591553762	5.494638547	5.614458577	5.41825855	5.990630444	5.663809501	5.90693087	5.689026066	5.529726221	5.537695725
Ccl5	7.14404484	6.96684418	6.774590296	6.632589102	6.66609047	6.593164009	6.613419184	6.747831795	6.948626154	6.724029008	6.653161316	6.532904454	6.626577851	6.917343037	6.41667144	6.861328266	6.437150044	6.645544597	6.819735447	6.666331009	6.854905774	6.496362745	6.94325062	6.636305597	6.609508741	6.59648249
Ccl6	5.593546496	5.614561641	5.635466133	5.163297449	5.973071656	5.790026522	6.120710662	5.254587744	5.555690404	5.301312055	5.328039373	5.159486567	5.202063731	5.491199995	5.415854419	6.486701101	5.963625167	6.088662467	5.754979226	5.370749007	8.124572148	6.025206019	8.201871759	6.229787856	5.74443023	5.614986579
Ccl7	6.586719715	6.441591925	6.729248212	6.253522911	6.429571891	6.101792927	6.424461938	6.190724151	6.285613675	6.358996322	6.232772664	6.147448492	6.204181156	6.237836785	6.119311213	6.15803098	6.162112666	6.158145124	6.301392543	6.126146213	6.077896679	6.121130784	6.230050707	6.106695885	6.227121725	6.164135943
Ccl8	4.414284396	4.337278171	4.567742158	4.32849183	4.760623709	4.388347991	4.368265483	4.335719055	4.382429781	4.542582052	4.415084837	4.342879448	4.296286085	4.328157888	4.279644626	4.253130804	4.237313866	4.42882578	4.494938232	4.208056785	4.248919342	4.346278509	4.590304097	4.441802155	4.463666048	4.10249297
Ccl9	5.732233919	5.478574955	5.66135532	5.363890609	5.981296317	5.673928545	5.74643639	5.41844522	5.496880934	5.56665789	5.410393119	5.097283513	5.639301633	5.410444567	5.411696274	10.27893614	9.994167242	5.833250221	5.578703275	5.432294679	7.573141461	9.371728445	7.043780024	8.127739194	5.652148966	6.263477666
Ccna2	5.466248616	5.336626166	5.79459695	5.65812768	8.943770452	10.25721873	6.41094538	11.01710494	6.222710552	6.896964044	6.198572075	6.167406771	6.326653589	6.494170767	5.688804198	9.413822426	10.61062856	11.98334188	10.92410461	11.00407319	10.09376469	10.7785819	10.32512241	10.9493121	11.07897064	11.45102168
Ccnb1	5.182559223	5.715832068	5.627323757	5.455893774	7.381455565	8.858095826	5.899088602	10.38642697	5.828691659	5.931388374	5.732602063	5.705883009	6.040280222	6.532566323	5.433370116	8.554617629	10.72082592	11.36376916	9.324494484	9.958807158	9.009015946	10.63795424	9.118106157	11.08096687	9.926818068	11.54114477
Ccnb2	6.102582552	5.930819325	6.15430506	6.157821187	8.022746193	9.229369615	6.319816609	10.83820776	6.153056102	6.438600035	6.095427969	6.136527735	6.270198131	6.578328407	5.767581532	9.217403347	10.5608666	11.57102655	10.25043119	10.60488466	9.666025829	10.60575118	9.707461851	10.69803186	10.46160741	10.96131695
Ccnd1	6.314237001	6.246003904	6.258552843	6.089369615	6.519161304	6.398039627	6.208134191	6.182032103	6.155204126	6.262668676	6.056994574	6.136797031	6.161315327	6.106976737	6.255026681	8.083901968	9.168125437	6.139614789	6.340972256	6.111286628	7.5548835	9.09086172	7.776825484	9.060335123	6.425990729	7.273672844
Ccnd3	8.694098057	8.146946896	8.103897109	8.171209497	9.304794387	8.918415952	8.164622046	9.824799988	7.838529953	8.900569486	8.484918064	8.501457457	8.038961776	8.010668616	8.199879247	8.84855542	8.737231679	10.92118878	10.30385756	9.513056419	8.984482925	8.57725723	9.828168385	9.080104929	10.58711348	10.39467022
Ccne1	7.402238259	7.304396654	7.5248094	7.630850517	7.781137609	8.150546307	7.682241799	9.067759524	7.294131498	7.913363971	7.922166325	7.990158815	8.442954275	8.294069831	8.334235588	7.914300511	8.847621052	9.851266553	8.190765462	8.67413835	7.726253814	8.933975822	7.893375257	8.879849608	8.855016281	9.963661577
Ccne2	4.147428818	4.369566522	4.465217014	4.691629076	5.054936726	6.587533516	4.871843649	8.12120678	4.64657935	4.983019425	4.765041388	4.951618876	4.584677941	4.74191905	4.74480514	6.886880849	7.247221179	8.825191907	7.234607656	7.831962299	6.981012358	7.578583781	6.86704548	7.767500095	8.011637824	8.841636153
Ccnf	6.113862993	6.007325589	5.706550812	5.75156816	7.356065146	8.370431389	5.866874193	9.160801054	6.212911037	5.961888755	5.918826673	6.042567006	5.852503293	5.964780589	5.626950122	7.661690821	9.286803157	10.29721118	8.843192246	9.30513629	8.069024885	9.3044467	8.067859039	9.610049326	8.994830956	10.24834946
Ccnl1	9.670091629	9.903895349	9.875883045	10.22299188	9.750590762	10.07037305	9.864035056	9.807329589	10.08724779	10.10065818	10.184301	10.18549261	9.575344795	9.749667196	9.697165724	9.836326753	9.18976074	9.616196428	9.846265605	9.892717204	9.892700713	9.705928095	9.510023744	9.868531055	9.63669766	9.265324838
Ccnyl1	8.33686044	7.965009253	7.61294711	8.393972424	8.454837607	9.178247542	7.518851927	6.746185997	8.746671402	8.927504703	8.773216148	8.464124622	8.13707106	7.77430707	8.339340814	6.865347264	6.959663525	6.863502818	7.514698802	8.134451135	7.165894189	6.933717797	6.976999086	6.862493546	7.390777153	6.618251383
Ccr1	4.319433684	4.209845829	4.280421883	4.405096068	4.918449844	4.455436823	4.768230208	3.94885311	6.761825562	5.241643185	5.164375998	4.736749174	7.508498113	7.743389074	6.057967903	4.509295214	4.838230743	4.336211966	4.377225572	3.925904501	7.046619835	4.865432227	6.53557555	4.070200391	4.466163765	4.141029443
Ccr10	6.477019126	6.41225707	6.439207001	6.020196959	6.131589484	6.162582668	6.397169762	6.09331086	6.245841058	6.255787733	6.129335228	5.902875122	6.143383894	6.194404262	6.282816616	6.045115833	5.967223953	6.079695973	6.214294509	5.975552235	6.273869558	5.987080548	6.53296989	5.922047163	6.036589049	6.25702508
Ccr2	4.971607928	4.866616245	5.134278449	4.593580855	5.029720845	5.193328881	5.080379102	4.620283373	4.624674115	4.802319038	4.795171242	4.745111813	4.717369347	4.784512708	4.744188011	7.261281397	6.740464842	5.155994733	5.101067323	4.342109049	6.951361268	7.03575036	6.289239212	6.982769645	5.063157759	4.897274314
Ccr3	4.913499808	4.934052513	5.092279334	4.674358954	4.785433723	4.882608816	4.964597324	4.688465736	4.966882623	4.737630884	4.804062166	4.652375588	4.690087395	5.310217709	4.761813597	4.783680585	4.662169413	4.807746458	4.826406117	4.554461971	5.23103425	4.529999971	5.490749814	4.60375293	4.716114772	4.696021643
Ccr4	5.357152569	5.095225401	5.678674781	5.18057755	5.447916359	5.246043187	5.26657543	5.252862193	5.165142833	5.23388806	5.2692838	5.194771298	5.00733456	5.274748691	5.14170526	4.944159178	4.974140748	4.835295874	5.285355361	4.96757135	5.034424097	4.918104729	5.097640291	4.979885107	5.10816339	5.084449839
