Time,T_N,T_h ,T_C,T_r,D_N,D,M_N,M,C,N  (Not determined),A,H,IL12,IL10,IL6,E_N,V,Ox
0,0.454696957,0.54943755,0.21749789,0.19479291,0.480060604,0.554379619,0.571975172,0.305860652,4.34E-01,2.17E-01,0.082656811,0.76307295,0,0.622406639,0.510416667,0.16293676,0.71692877,1
14,0.487466514,0.604997136,1,1,0.495876949,0.837278312,0.37127511,0.389111575,5.47E-01,2.74E-01,0.193711256,0.601678502,0.253968254,1,0.091145833,0.061235827,0.666975023,0.2
28,0.413539996,0.497000979,0.310748599,0.171225186,0.534789031,0.5095477,0.547031782,0.391729747,7.92E-01,3.96E-01,0.441834197,0.610071014,0,0.593360996,0.421875,0.307664844,0.289546716,0.02
42,0.724503212,0.44228236,0.216850482,0.444870485,0.600915647,0.627078324,0.709577372,0.48021157,8.34E-01,4.17E-01,1,0.520981278,0.063492063,0.441217151,0.330729167,0.485161438,0.355226642,0.0002
